Epoch,Error x, Error y
1,19.6158,22.0261
2,19.2412,21.4198
3,18.8984,20.8201
4,18.5162,20.2225
5,18.1513,19.6327
6,17.7474,19.0583
7,17.3467,18.484
8,16.9602,17.9126
9,16.5917,17.3467
10,15.2133,15.5876
11,15.7628,15.9778
12,15.3324,15.2096
13,14.8321,14.4868
14,14.4653,13.7877
15,14.1552,13.0663
16,14.085,12.4059
17,14.0615,11.8018
18,13.6537,11.3225
19,13.2785,10.8112
20,12.9062,10.3152
21,12.5833,9.83434
22,12.2879,9.33457
23,11.948,8.84254
24,11.6014,8.36201
25,11.237,7.89037
26,10.8434,7.45859
27,10.5093,7.01765
28,10.186,6.59176
29,9.89389,6.17609
30,9.52401,5.77247
31,9.20347,5.3831
32,8.85269,5.00957
33,8.49264,4.6456
34,8.16484,4.29677
35,7.82905,3.96218
36,7.50492,3.64867
37,7.16822,3.35046
38,6.83968,3.06122
39,6.52996,2.81596
40,6.2237,2.57809
41,5.93001,2.35372
42,5.62567,2.13695
43,5.35559,1.92039
44,5.0934,1.71013
45,4.81159,1.50971
46,4.53328,1.30236
47,4.27418,1.10459
48,4.01657,0.920699
49,3.76684,0.757594
50,3.51944,0.617004
51,3.28456,0.521434
52,3.05799,0.403068
53,2.8478,0.344041
54,2.62256,0.302417
55,2.41932,0.235368
56,2.2284,0.310545
57,2.03756,0.24716
58,1.86468,0.260225
59,1.68298,0.28124
60,1.51081,0.284509
61,1.31522,0.316215
62,1.15239,0.288966
63,0.967942,0.29099
64,0.793139,0.309072
65,0.620562,0.217296
66,0.446789,0.275779
67,0.287681,0.209796
68,0.260048,0.302162
69,0.225743,0.264857
70,0.229673,0.236962
71,0.220881,0.293227
72,0.249265,0.247209
73,0.212288,0.277999
74,0.224551,0.282043
75,0.195703,0.30917
76,0.195898,0.271374
77,0.189285,0.25412
78,0.206647,0.263189
79,0.154937,0.314066
80,0.188291,0.232624
81,0.169778,0.308039
82,0.209657,0.272513
83,0.184968,0.284235
84,0.205683,0.283466
85,0.163981,0.261285
86,0.254383,0.275246
87,0.209256,0.281464
88,0.263501,0.250019
89,0.215646,0.293635
90,0.198912,0.244659
91,0.205554,0.26619
92,0.228662,0.278407
93,0.183528,0.23349
94,0.185804,0.237174
95,0.216195,0.284821
96,0.211758,0.205532
97,0.254254,0.290349
98,0.185221,0.22291
99,0.195988,0.218401
100,0.200323,0.217438
101,0.182242,0.211018
102,0.194793,0.275053
103,0.203643,0.231825
104,0.202892,0.186192
105,0.242401,0.286756
106,0.227263,0.202666
107,0.256677,0.268227
108,0.203037,0.273042
109,0.207199,0.264617
110,0.211288,0.313527
111,0.240597,0.231399
112,0.237833,0.287112
113,0.221816,0.267115
114,0.18485,0.260109
115,0.228032,0.232111
116,0.203131,0.2691
117,0.217073,0.232774
118,0.167425,0.267096
119,0.243804,0.2407
120,0.18879,0.23106
121,0.238386,0.259395
122,0.192837,0.200967
123,0.23266,0.193835
124,0.236022,0.192048
125,0.194396,0.223798
126,0.21104,0.17899
127,0.211055,0.257698
128,0.195327,0.274827
129,0.240087,0.215628
130,0.20056,0.266362
131,0.259549,0.216998
132,0.232021,0.205167
133,0.212127,0.224371
134,0.229237,0.220212
135,0.233681,0.236971
136,0.24066,0.258329
137,0.266192,0.229924
138,0.258165,0.238685
139,0.199746,0.261688
140,0.22152,0.221587
141,0.244287,0.231435
142,0.282743,0.208274
143,0.236979,0.261594
144,0.234165,0.217364
145,0.225098,0.304804
146,0.225315,0.214622
147,0.212554,0.264827
148,0.186137,0.282012
149,0.200889,0.198692
150,0.175387,0.286684
151,0.17809,0.22572
152,0.184365,0.229345
153,0.215459,0.248518
154,0.205751,0.222929
155,0.225649,0.242524
156,0.26012,0.259033
157,0.172738,0.30559
158,0.206052,0.26174
159,0.245413,0.258947
160,0.201382,0.27528
161,0.218717,0.251186
162,0.203724,0.306799
163,0.214758,0.287458
164,0.247808,0.253032
165,0.23791,0.181772
166,0.226614,0.262025
167,0.213969,0.258956
168,0.221389,0.215188
169,0.217674,0.203242
170,0.228241,0.174775
171,0.232293,0.201135
172,0.194756,0.250034
173,0.247641,0.200319
174,0.27056,0.252502
175,0.205265,0.261021
176,0.295875,0.267192
177,0.169886,0.287048
178,0.231433,0.2487
179,0.254677,0.259768
180,0.191833,0.276839
181,0.286967,0.204921
182,0.215104,0.305583
183,0.242123,0.288235
184,0.230548,0.266468
185,0.259486,0.260746
186,0.260599,0.237431
187,0.213369,0.279151
188,0.218473,0.23809
189,0.224677,0.31028
190,0.224363,0.20465
191,0.214999,0.312669
192,0.257776,0.267453
193,0.201175,0.24312
194,0.206173,0.253563
195,0.224404,0.285966
196,0.223737,0.239123
197,0.211803,0.286123
198,0.266039,0.254452
199,0.238239,0.290973
200,0.222884,0.214564
201,0.260151,0.288155
202,0.172649,0.177611
203,0.2571,0.315613
204,0.152491,0.287584
205,0.224215,0.266228
206,0.227615,0.291049
207,0.172724,0.235925
208,0.20386,0.282581
209,0.204763,0.220155
210,0.274162,0.26461
211,0.176997,0.237378
212,0.236743,0.241952
213,0.224662,0.252239
214,0.205087,0.223463
215,0.275776,0.244732
216,0.1709,0.249446
217,0.249309,0.196006
218,0.24612,0.259945
219,0.243636,0.248771
220,0.240926,0.246729
221,0.181668,0.229014
222,0.254792,0.249607
223,0.153626,0.242066
224,0.258499,0.290942
225,0.176837,0.195451
226,0.225132,0.265067
227,0.200315,0.251732
228,0.251307,0.264269
229,0.155719,0.316572
230,0.23817,0.239209
231,0.148447,0.257861
232,0.21554,0.257898
233,0.136809,0.271585
234,0.21573,0.327928
235,0.173532,0.301353
236,0.236935,0.284461
237,0.194666,0.298292
238,0.243419,0.27002
239,0.141442,0.310458
240,0.215052,0.25335
241,0.237467,0.307774
242,0.167397,0.309411
243,0.237303,0.225333
