Epoch,Error x, Error y
1,22.933,22.121
2,22.3781,21.3594
3,21.8696,20.6703
4,21.4356,20.0775
5,21.0321,19.4836
6,20.6439,18.9296
7,20.2419,18.3494
8,19.8352,17.7743
9,19.4603,17.2289
10,19.2573,16.6841
11,18.7261,15.9853
12,18.4095,15.2448
13,18.0227,14.7307
14,17.7045,14.3179
15,17.2765,13.8053
16,16.9002,13.2695
17,16.5886,12.6824
18,16.2658,12.3083
19,15.8444,11.8641
20,15.4768,11.4021
21,15.1136,10.9456
22,14.7464,10.4876
23,14.4426,10.0741
24,14.0892,9.65321
25,13.7837,9.20607
26,13.4454,8.80093
27,13.0812,8.41387
28,12.8274,8.0386
29,12.498,7.72539
30,12.152,7.4114
31,11.8531,7.12868
32,11.5573,6.79694
33,11.3851,6.45617
34,11.1492,6.15141
35,10.8796,5.8324
36,10.66,5.55782
37,10.4445,5.37375
38,10.2007,5.15096
39,9.99004,5.00542
40,9.83523,4.80251
41,9.68247,4.54594
42,9.45643,4.47461
43,9.32804,4.45082
44,9.20168,4.23337
45,8.99614,4.10521
46,8.84021,4.04077
47,8.71074,3.99022
48,8.68139,3.94275
49,8.46986,3.8003
50,8.29735,3.73286
51,8.16283,3.67917
52,7.98879,3.65945
53,7.88487,3.68707
54,7.84998,3.68406
55,7.87943,3.60436
56,7.81143,3.60909
57,7.85742,3.53209
58,7.79538,3.63587
59,7.77352,3.55831
60,7.66817,3.59613
61,7.69558,3.60435
62,7.50239,3.45611
63,7.45658,3.41667
64,7.44006,3.58006
65,7.30637,3.63981
66,7.27192,3.63428
67,7.19758,3.61621
68,7.25106,3.54557
69,7.28221,3.55093
70,7.36371,3.61951
71,7.36204,3.64788
72,7.3543,3.55623
73,7.39573,3.61337
74,7.34087,3.57384
75,7.37467,3.56263
76,7.4128,3.59729
77,7.44339,3.53391
78,7.36468,3.52237
79,7.30109,3.5274
80,7.26134,3.60934
81,7.45318,3.60471
82,7.38701,3.62261
83,7.3767,3.55548
84,7.32872,3.61323
85,7.24116,3.61659
86,7.25418,3.57941
87,7.27384,3.55751
88,7.37227,3.47786
89,7.46467,3.58604
90,7.37251,3.61724
91,7.37765,3.6641
92,7.36249,3.53001
93,7.31368,3.46546
94,7.29698,3.58969
95,7.44257,3.6307
96,7.43952,3.56579
97,7.49133,3.5202
98,7.46346,3.59373
99,7.44603,3.6584
100,7.43514,3.61426
101,7.45579,3.78525
102,7.44652,3.79878
103,7.44409,3.83633
104,7.49758,3.8621
105,7.58791,3.84886
106,7.54136,3.80512
107,7.37369,3.83906
108,7.26336,3.82029
