Epoch,Error x, Error y
0,23,21.5
1,22.5371,21.2084
2,21.948,20.4843
3,21.5509,19.8899
4,21.314,19.3513
5,21.2821,18.7918
6,20.68,18.1304
7,20.5749,17.3781
8,20.0559,16.6937
9,19.6677,16.1343
10,19.2429,15.6509
11,18.8237,15.1104
12,18.4053,14.5524
13,17.9926,14.042
14,17.6071,13.5255
15,17.1926,13.0082
16,16.8373,12.5233
17,16.462,12.0466
18,16.0731,11.5591
19,15.6894,11.0825
20,15.3234,10.6172
21,14.9489,10.1886
22,14.5665,9.75574
23,14.2051,9.33953
24,13.8323,8.92757
25,13.5027,8.53085
26,13.1608,8.14267
27,12.8467,7.75905
28,12.5292,7.38458
29,12.2182,7.03963
30,11.927,6.69287
31,11.6305,6.35175
32,11.3318,6.05082
33,11.0155,5.78237
34,10.7278,5.48893
35,10.4603,5.26893
36,10.2522,5.046
37,10.0185,4.88261
38,9.81448,4.68345
39,9.59846,4.50137
40,9.36258,4.31024
41,9.23899,4.21605
42,9.06833,4.10507
43,8.91102,3.96359
44,8.79695,3.87794
45,8.68111,3.77053
46,8.5617,3.7157
47,8.43444,3.70262
48,8.34042,3.65984
49,8.22795,3.59019
50,8.15883,3.52403
51,8.12965,3.5392
52,8.09363,3.59512
53,8.04601,3.62532
54,7.91473,3.52442
55,7.85216,3.49524
56,7.80668,3.49886
57,7.82881,3.4814
58,7.69321,3.48699
59,7.58162,3.43276
60,7.53421,3.44472
61,7.50668,3.45327
62,7.49797,3.49467
63,7.46386,3.53289
64,7.49292,3.43518
65,7.4885,3.42051
66,7.46299,3.39925
67,7.44349,3.37708
68,7.4364,3.40652
69,7.45297,3.45344
70,7.43022,3.43505
71,7.40255,3.42762
72,7.3937,3.37918
73,7.30162,3.33112
74,7.29371,3.23063
75,7.33748,3.27382
76,7.38517,3.27079
77,7.36758,3.28524
78,7.37644,3.32864
79,7.34149,3.27732
80,7.34316,3.31222
81,7.2228,3.2695
82,7.28663,3.32777
83,7.2755,3.28063
84,7.30258,3.29251
85,7.33233,3.30173
86,7.32013,3.26101
87,7.37546,3.2341
88,7.2956,3.2616
89,7.25667,3.34538
90,7.18586,3.2994
91,7.15773,3.304
92,7.13809,3.31683
93,7.25956,3.33318
94,7.34944,3.3292
95,7.39744,3.33194
96,7.35077,3.34955
97,7.35149,3.32684
98,7.36565,3.27731
99,7.38942,3.29723
100,7.35561,3.34787
101,7.35968,3.27031
102,7.32155,3.32417
103,7.31198,3.33796
104,7.40367,3.41547
105,7.38357,3.366
106,7.39279,3.36614
107,7.39602,3.33841
108,7.32603,3.35255
109,7.3675,3.33455
110,7.36056,3.42557
111,7.38623,3.39406
112,7.35621,3.41977
113,7.32674,3.42515
114,7.37453,3.334
115,7.34833,3.36724
116,7.31301,3.35401
117,7.29188,3.33658
118,7.24647,3.34012
119,7.26016,3.3706
120,7.26801,3.40386
121,7.30736,3.37651
122,7.32975,3.40207
123,7.29193,3.36566
124,7.21761,3.31191
125,7.30858,3.29612
126,7.27958,3.36308
