Epoch,Error x, Error y
1,19.6158,22.0261
2,19.2409,21.4205
3,18.8982,20.8224
4,18.5155,20.225
5,18.15,19.6364
6,17.7459,19.0664
7,17.3448,18.4951
8,16.959,17.9249
9,16.593,17.3605
10,15.2197,15.6129
11,15.7638,15.9929
12,15.3549,15.2935
13,14.3413,14.1098
14,14.3974,13.9084
15,14.0174,13.2036
16,13.9536,12.5993
17,13.9053,11.9835
18,13.6938,11.4156
19,13.319,10.9079
20,12.9543,10.3944
21,12.6313,9.89566
22,12.3187,9.35478
23,11.9867,8.87954
24,11.6401,8.40377
25,11.2732,7.93377
26,10.9103,7.48132
27,10.5474,7.02599
28,10.1781,6.59731
29,9.87446,6.18184
30,9.51856,5.7857
31,9.19752,5.39532
32,8.84113,5.01908
33,8.4795,4.65141
34,8.1524,4.29741
35,7.81645,3.96649
36,7.49133,3.64453
37,7.15532,3.35184
38,6.82637,3.07238
39,6.51897,2.81487
40,6.2107,2.57452
41,5.91832,2.34639
42,5.61997,2.13904
43,5.35131,1.9175
44,5.08747,1.70268
45,4.80696,1.50329
46,4.52562,1.28759
47,4.267,1.08829
48,4.00603,0.892598
49,3.75678,0.719022
50,3.51009,0.56912
51,3.27965,0.447648
52,3.05209,0.312736
53,2.83125,0.186443
54,2.60976,0.0785896
55,2.40311,0.047513
56,2.2082,0.0632263
57,2.01747,0.0325227
58,1.83511,0.0389307
59,1.65443,0.0405817
60,1.47354,0.0198729
61,1.31687,0.0189467
62,1.1371,0.030149
63,0.954664,0.0103807
64,0.775265,0.0202524
65,0.597602,0.0118743
66,0.417226,0.0223509
67,0.256052,0.00909689
68,0.138878,0.0130211
69,0.0617348,0.00843374
70,0.0787325,0.0116424
71,0.0457247,0.0072301
72,0.0513831,0.00574323
73,0.0554941,0.00291011
74,0.0139141,0.0049624
75,0.0338344,0.00269545
76,0.0166119,0.0041355
77,0.0214182,0.0060313
78,0.0109299,0.0022732
79,0.0180645,0.00353187
80,0.0194052,0.00241273
81,0.00919573,0.00279407



Converged at epoch: 81
