Epoch,Error x, Error y
1,19.6158,22.0261
2,19.2409,21.4205
3,18.8982,20.8224
4,18.5155,20.225
5,18.15,19.6364
6,17.7459,19.0664
7,17.3448,18.4951
8,16.959,17.9249
9,16.593,17.3605
10,15.2197,15.6129
11,15.7638,15.9929
12,15.3549,15.2935
13,14.341,14.1099
14,14.3976,13.9084
15,14.0112,13.1961
16,13.9476,12.5925
17,13.8994,11.9778
18,13.6985,11.4348
19,13.3232,10.9258
20,12.9522,10.4319
21,12.6291,9.95519
22,12.3158,9.45556
23,11.9757,8.96405
24,11.6332,8.4605
25,11.2669,7.99009
26,10.9482,7.52035
27,10.5836,7.06778
28,10.2166,6.63055
29,9.93219,6.20155
30,9.51863,5.79946
31,9.19967,5.4031
32,8.87808,5.02279
33,8.5161,4.65354
34,8.18193,4.30184
35,7.84543,3.97049
36,7.51652,3.64489
37,7.18022,3.35152
38,6.85001,3.07271
39,6.5403,2.81678
40,6.23078,2.57501
41,5.93845,2.34767
42,5.63863,2.13964
43,5.36895,1.92146
44,5.10419,1.70667
45,4.82344,1.50052
46,4.54022,1.2931
47,4.27794,1.09091
48,4.01469,0.89902
49,3.76382,0.72112
50,3.51424,0.573599
51,3.2807,0.454386
52,3.0525,0.327743
53,2.83356,0.216309
54,2.6134,0.140403
55,2.40812,0.127567
56,2.21538,0.167689
57,2.02462,0.108522
58,1.8411,0.169056
59,1.65965,0.14191
60,1.48046,0.111993
61,1.32085,0.144925
62,1.1438,0.0976984
63,0.972448,0.149375
64,0.790149,0.155214
65,0.613935,0.12809
66,0.448964,0.147272
67,0.297047,0.144317
68,0.185321,0.141534
69,0.134349,0.163773
70,0.165244,0.145554
71,0.143983,0.145592
72,0.13308,0.121073
73,0.139333,0.146542
74,0.116091,0.156692
75,0.114161,0.156276
76,0.104103,0.15495
77,0.115664,0.167368
78,0.115004,0.203357
79,0.155434,0.146795
80,0.178332,0.122467
81,0.0990734,0.167204
82,0.116191,0.123719
83,0.11989,0.1632
84,0.104286,0.147656
85,0.0971411,0.161749
86,0.127159,0.149134
87,0.119097,0.112391
