Epoch,Error x, Error y
1,19.6158,22.0293
2,19.2415,21.4294
3,18.8989,20.8358
4,18.5173,20.2405
5,18.1535,19.653
6,17.7501,19.0929
7,17.35,18.5245
8,16.9649,17.9584
9,16.5992,17.3965
10,15.2169,15.6588
11,15.7699,16.0367
12,15.3594,15.3405
13,14.3371,14.1565
14,14.4101,13.9752
15,13.9854,13.2849
16,13.7809,12.6985
17,14.212,12.155
18,13.6487,11.5827
19,13.352,11.0431
20,12.9325,10.5133
21,12.611,10.0357
22,12.3191,9.52981
23,11.9808,9.04091
24,11.6124,8.5508
25,11.2482,8.08072
26,10.931,7.6126
27,10.5684,7.16094
28,10.2059,6.72159
29,9.93986,6.29108
30,9.56737,5.88356
31,9.25102,5.48253
32,8.90042,5.09963
33,8.53737,4.72524
34,8.20981,4.36665
35,7.87269,4.03282
36,7.54727,3.71114
37,7.21004,3.42318
38,6.87863,3.14431
39,6.57091,2.88593
40,6.26146,2.63744
41,5.96721,2.404
42,5.6654,2.20642
43,5.39118,1.98553
44,5.12754,1.77532
45,4.84327,1.57178
46,4.56069,1.36589
47,4.29674,1.16235
48,4.03345,0.966352
49,3.78052,0.783884
50,3.53325,0.62303
51,3.2993,0.485885
52,3.0688,0.367613
53,2.84601,0.239937
54,2.6222,0.154499
55,2.41034,0.0542247
56,2.21235,0.0778903
57,2.02332,0.082283
58,1.83689,0.0266539
59,1.65547,0.0333721
60,1.47254,0.0316746
61,1.32166,0.0177556
62,1.17263,0.0159873
63,0.990059,0.0117421
64,0.810436,0.0155855
65,0.633581,0.00824127
66,0.458496,0.01048
67,0.292859,0.00898253
68,0.167736,0.0105992
69,0.0750274,0.00772615
70,0.0541759,0.00817432
71,0.11207,0.0076698
72,0.0286904,0.00670177
73,0.0338488,0.00936324
74,0.0538526,0.00423302
75,0.0289218,0.00766181
76,0.00777008,0.00430974



Converged at epoch: 76
