Epoch,Error x, Error y
1,19.6158,22.0253
2,19.2407,21.4178
3,18.898,20.8177
4,18.5149,20.2197
5,18.1487,19.6305
6,17.7442,19.0556
7,17.3428,18.4832
8,16.9567,17.9111
9,16.5903,17.3457
10,15.2196,15.5983
11,15.7611,15.9757
12,15.353,15.2753
13,14.3419,14.0914
14,14.3924,13.8818
15,14.0162,13.1672
16,13.954,12.5837
17,13.8981,11.9465
18,13.6719,11.35
19,13.297,10.8386
20,12.9297,10.3247
21,12.6068,9.83962
22,12.3121,9.33956
23,11.9713,8.84932
24,11.6259,8.3704
25,11.2585,7.90014
26,10.9351,7.4366
27,10.563,7.00341
28,10.1933,6.57275
29,9.89567,6.15664
30,9.52398,5.76166
31,9.20297,5.37282
32,8.85162,4.99662
33,8.49096,4.62993
34,8.16317,4.2784
35,7.80914,3.94142
36,7.48299,3.61901
37,7.14712,3.32498
38,6.81878,3.04763
39,6.51062,2.791
40,6.20806,2.55508
41,5.91596,2.32495
42,5.61533,2.11334
43,5.34357,1.89637
44,5.08018,1.68407
45,4.80084,1.47804
46,4.52081,1.26762
47,4.25909,1.06297
48,3.99799,0.884872
49,3.74866,0.700656
50,3.50258,0.567046
51,3.26777,0.447563
52,3.04255,0.315703
53,2.82434,0.198496
54,2.60729,0.13056
55,2.39942,0.139987
56,2.20654,0.160036
57,2.01807,0.107136
58,1.83578,0.133501
59,1.65398,0.132653
60,1.48131,0.12435
61,1.3124,0.170234
62,1.14057,0.109869
63,0.954607,0.167856
64,0.773273,0.188803
65,0.599652,0.12524
66,0.432414,0.150152
67,0.312564,0.13396
68,0.219876,0.157217
69,0.165176,0.137877
70,0.146411,0.153692
71,0.146982,0.150663
72,0.140503,0.103847
73,0.104187,0.140548
74,0.113149,0.137401
75,0.112404,0.13055
76,0.0922972,0.146078
77,0.111308,0.166309
78,0.093761,0.149631
79,0.136608,0.144045
80,0.1192,0.144222
81,0.0982773,0.137932
82,0.115197,0.138767
83,0.129548,0.117151
84,0.136041,0.154484
85,0.117603,0.158014
86,0.122043,0.174554
87,0.128372,0.184255
88,0.161337,0.15995
89,0.136534,0.16678
90,0.101109,0.132345
91,0.135675,0.141992
92,0.150071,0.162974
93,0.123413,0.163371
94,0.139436,0.154858
95,0.119904,0.171028
96,0.101193,0.181708
97,0.0964382,0.156811
98,0.104978,0.175077
99,0.100811,0.150822
100,0.0983688,0.149249
101,0.0769926,0.165939
102,0.0613607,0.216124
103,0.0721315,0.142659
104,0.0993319,0.15022
105,0.0935442,0.126048
106,0.0822162,0.133882
107,0.0792575,0.156336
108,0.127567,0.169187
109,0.0922381,0.148555
110,0.103694,0.149502
111,0.090751,0.165002
112,0.114071,0.161543
113,0.0972848,0.157168
114,0.15773,0.111204
115,0.0994255,0.165181
116,0.0846162,0.157996
117,0.0646183,0.138298
118,0.0742015,0.142188
119,0.0960855,0.183892
120,0.107196,0.126624
121,0.127545,0.115018
122,0.103346,0.176783
123,0.11611,0.161654
124,0.12638,0.145186
125,0.134572,0.174503
126,0.127502,0.104009
127,0.142308,0.155799
128,0.0724189,0.112686
129,0.0964523,0.105292
130,0.111478,0.1161
131,0.134218,0.13963
132,0.0932333,0.12006
133,0.10537,0.173437
134,0.110054,0.133107
135,0.111663,0.105017
136,0.133853,0.115723
137,0.141568,0.110715
138,0.157814,0.114674
139,0.145267,0.164563
140,0.140468,0.0950155
141,0.1145,0.141987
