Particle (i),X,Y
1,19.9959,7.05038
2,19.9899,6.99808
3,20.0014,6.91065
4,20.006,6.99928
5,19.4624,6.97861
6,19.9999,7.00001
7,20.0938,6.99525
8,20.4819,6.99784
9,20,7.00001
10,20.0327,6.99325
11,20.0165,7.02482
12,20.2156,6.88436
13,19.477,7.03353
14,20.0818,6.40163
15,20.0034,7.00016
16,20.0006,6.79493
17,20.0011,6.9807
18,19.9992,6.63992
19,19.9731,7.19457
20,19.3845,6.99586
21,19.9978,6.54617
22,19.9949,6.99997
23,20.1258,6.49128
24,20.0177,6.91692
25,19.9933,6.96192
26,20.0025,6.98693
27,20.021,6.63805
28,20.0004,7.01924
29,20.0261,6.99977
30,20.0002,7.03268
