Particle (i),X,Y
1,19.9922,7.00045
2,19.8676,6.87963
3,20.0003,7
4,20.0002,6.99221
5,20.4424,7.00466
6,19.9992,6.98691
7,19.9265,7.01399
8,19.6087,6.97784
9,20.2275,7.00054
10,19.9741,7.08245
11,19.4543,6.7595
12,19.7912,6.67582
13,20.2116,7.19814
14,19.9114,7.33269
15,19.9442,6.99857
16,20.0066,6.8005
17,19.9988,7.00008
18,20.0034,7.02395
19,19.9846,6.94273
20,20.2062,6.72856
21,20,6.89539
22,20.0595,6.99981
23,19.9937,7.70152
24,20.4334,6.99509
25,19.9204,6.99525
26,19.9636,7.00846
27,19.9844,7.36603
28,19.9785,7.16783
29,19.6031,7.00212
30,19.9972,7.00262
