Particle (i),X,Y
1,20.0027,6.99821
2,19.9995,7.0006
3,20,7
4,19.9997,7.00006
5,20,7
6,20,6.99976
7,20,6.99999
8,20,7.00001
9,20,7
10,19.9959,6.99958
11,20,6.99989
12,20.0002,7.00027
13,20.0069,7.00098
14,20,6.99998
15,20,7
16,20,6.99997
17,20.0001,6.99994
18,20.0018,6.99748
19,19.9998,6.99999
20,20,6.99999
21,19.9747,7
22,20.0007,7.00004
23,20.0001,7
24,19.9565,7.00021
25,20.0002,6.99918
26,20.0203,7.00247
27,20,6.99952
28,19.9994,7.00001
29,19.9797,6.9955
30,19.9999,7.0006
31,19.9997,7
32,19.9986,7.00023
33,19.9986,7.00272
34,20,7.00002
35,20,6.99991
36,20.0002,6.99858
37,20.0001,6.99999
38,20,6.9999
39,19.9989,6.99985
40,20.0116,6.99968
41,20,7.00008
42,20,7.00352
43,20.005,7.00002
44,20,6.99997
45,19.9942,7.00007
46,20,6.99974
47,19.9997,7.00011
48,20,6.99996
49,20,7.02324
50,20,6.99998
51,20,7.00002
52,19.9993,6.99996
53,19.9977,7.00111
54,19.9981,6.99999
55,20.0001,7.00001
56,19.9595,7.00339
57,20,7.00009
58,20,7.00003
59,20.0386,6.99961
60,19.9996,6.9983
61,20,7
62,20,7
63,20.0186,7.00541
64,20,6.99894
65,19.9986,7.00142
66,19.9952,6.99975
67,19.9768,7.01465
68,20.0003,7.00038
69,20,6.99982
70,19.9948,7.00002
71,19.9982,7.00166
72,19.9998,7.00167
73,20.0044,6.9972
74,19.9997,7.0026
75,20,7
76,19.9658,6.99997
77,20,6.99996
78,20,7
79,20,7
80,20.0001,7.00153
81,20.0104,6.99998
82,19.9708,6.99663
83,20,6.99986
84,20,6.99787
85,20.0008,6.99997
86,19.994,7.00006
87,19.9982,6.99996
88,20.0005,6.99919
89,20,7.00001
90,19.9873,6.99999
91,20,6.99993
92,20.0022,7.00058
93,20.0137,7.00068
94,20,7.00003
95,20.0001,7
96,20.0032,6.96616
97,20.0012,6.9911
98,19.9848,6.99489
99,20,6.99876
100,20.0001,7
101,20.0084,6.9931
102,19.9791,6.9947
103,20,7.00001
104,19.9999,7.0004
105,20.0011,6.99825
106,20,6.99984
107,20,7.0012
108,20.0001,6.9999
109,20.0079,7
110,19.9976,7.06123
111,20,7.0014
112,19.9991,7.00011
113,19.9961,6.99662
114,20,6.99996
115,20.0004,7.00015
116,20,7
117,19.9953,7.00015
118,19.9999,7.01395
119,20,6.99931
120,19.9994,6.99998
121,20,7
122,20,7
123,20.01,7.00003
124,20,6.99993
125,20,7.01262
126,20.0044,7.00022
127,19.9978,7.00018
128,19.9998,6.99702
129,20.0033,7
130,20,6.99999
131,20,6.99999
132,20.0016,6.99393
133,20,7
134,20,7
135,20,7
136,19.9995,6.99897
137,20.0001,6.99776
138,20,6.99997
139,19.9978,7.00165
140,20,7
141,20.0004,7.0002
142,20.0009,7.00338
143,20.0012,6.99725
144,19.9985,6.99983
145,19.9444,7.00006
146,19.9999,7.00003
147,20,7
148,19.9998,6.99729
149,20.0003,7.00001
150,20,6.99937
151,20,7.0027
152,20.0003,7.00019
153,20.0381,7.00053
154,20,6.99989
155,20,7.00034
156,20,6.99913
157,19.9993,6.99976
158,19.9998,7.00005
159,19.9981,6.99996
160,19.9993,6.9971
161,20.0142,7.00001
162,19.9999,7
163,20.0001,6.99996
164,20.0031,7.00024
165,19.9999,7.00113
166,19.9999,6.99996
167,19.997,6.99903
168,20,6.99995
169,19.9998,7.00002
170,20.0012,6.99715
171,19.9996,7.00029
172,19.9977,7.00013
173,19.9961,6.9919
174,19.9966,6.99999
175,20,6.99674
176,20.0004,7
177,20.0211,6.99844
178,20.0332,7.00117
179,19.9996,6.99998
180,20,6.99999
181,20,7.00063
182,20,7.00017
183,20,6.99996
184,20.0091,7
185,20,6.99996
186,19.994,6.99983
187,19.9903,7.00682
188,20,7
189,20.0203,6.99687
190,19.9439,6.99891
191,20.0018,7.00002
192,19.9995,6.99999
193,20.0001,6.99999
194,20,7.00002
195,20,7.00001
196,19.9999,6.99595
197,19.9999,6.99999
198,20,6.99998
199,20.0007,7.00003
200,20,6.99988
