Particle (i),X,Y
1,20.0002,6.99893
2,20.0001,7.00054
3,19.9997,7.02005
4,20.0008,7
5,20,7
6,20,7
7,19.9999,6.99995
8,20,6.99991
9,20,7
10,20,7
11,20,7
12,20,6.9999
13,20,7.00001
14,20,6.99998
15,19.9999,7.00014
16,20,6.99999
17,20,7
18,20,7.00003
19,20,7
20,20.0031,6.99823
21,19.9977,7
22,20,7.00002
23,19.9993,7.00014
24,19.9978,6.99991
25,20,7.00005
26,19.9991,7.00062
27,20,7
28,20,7
29,20,6.99999
30,20,7.00002
31,19.9998,7.00008
32,20.0001,7.00005
33,20,7
34,20,7.00001
35,20,7
36,20.0004,7.00001
37,20,7.00017
38,20.0001,6.99994
39,20,7.00008
40,19.9994,7.00001
41,20,7
42,19.9994,6.99958
43,20,7
44,19.9999,7.00001
45,19.9985,7
46,20.0008,6.96742
47,20.0005,6.99938
48,20,7
49,20,7.00015
50,20,7
51,20,7
52,19.9986,7.00155
53,20,7
54,20,7
55,20.0001,6.99999
56,20,7.00001
57,19.9999,7.00021
58,20,6.99989
59,19.9457,7.00004
60,19.9999,7.00003
61,19.9997,6.99995
62,20,7
63,20,7
64,20,7
65,20,7
66,20,7
67,20.0002,7.00032
68,20,7
69,19.8868,7
70,20,7.00001
71,20,7
72,20.0005,6.99983
73,20,7.00007
74,20,7
75,20,7.00001
76,20,7
77,20,7.00004
78,20.0002,7.00064
79,20,7
80,19.9964,7.00015
81,19.9978,7
82,20,7
83,19.9907,7.0849
84,19.9998,6.9996
85,19.9999,7
86,20,7.00001
87,20,7.00002
88,19.9996,6.99999
89,20,7
90,19.9999,6.99996
91,20,7
92,20.0002,7.00005
93,20,7
94,20,6.99991
95,20,7
96,20,6.99998
97,20.0001,6.99978
98,20.0004,6.99998
99,20.0001,7
100,20,7
