Run,Correlation (rho_l),Joint Entropy (H_l),Mutual Information (I_l)
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0.0333333,0,0
,,,,
,,,,
J1,J2,R1,R2,H
1,-0.1,7,9,-1
