Run,Correlation (rho_l),Joint Entropy (H_l),Mutual Information (I_l)
1,0.705554,0,1.38129
2,0.56861,1.00101,0.380282
3,0.423702,1.05825,0.323036
4,0.277638,1.08831,0.292977
5,0.132554,1.09219,0.289099
6,0.0223247,1.07264,0.308645
7,0.101827,1.03679,0.344503
8,0.192779,0.995906,0.385383
9,0.245927,0.950603,0.430686
10,0.259335,0.919903,0.461386
11,0.239648,0.9115,0.469789
12,0.197501,0.923255,0.458034
13,0.131198,0.947479,0.43381
14,0.0375012,0.981789,0.3995
15,0.0386654,1.02228,0.35901
,,,,
,,,,
J1,J2,R1,R2,H
1,-0.1,1,14,3
