Particle (i),X,Y
1,-0.341943,-1.03019
2,19.9555,6.98443
3,2.00752,-1.22483
4,13.5836,-4.23431
5,0.323687,2.7475
6,-3.10815,0.723137
7,11.5202,-8.67543
8,19.9555,6.98443
9,7.11006,6.59105
10,8.58641,7.56518
11,19.9555,6.98443
12,19.9555,6.98443
13,19.9555,6.98443
14,19.9555,6.98443
15,11.6535,-6.49501
16,19.9553,6.98457
17,19.9555,6.98443
18,19.9555,6.98443
19,0.928,5.35549
20,19.9555,6.98443
21,2.50518,7.05807
22,19.9555,6.98443
23,8.1143,-3.56429
24,11.9783,-7.98461
25,3.93528,7.05301
26,3.88594,7.01098
27,10.3695,-2.43851
28,19.9555,6.98443
29,0.941319,6.94684
30,4.85797,-2.46037
31,2.02672,-2.82538
32,19.9555,6.98443
33,8.05975,-1.99783
34,9.91846,9.21599
35,1.2194,8.11774
36,19.9555,6.98443
37,19.9555,6.98443
38,19.9555,6.98443
39,19.9555,6.98443
40,9.70305,-2.85096
41,13.0072,8.56462
42,19.9555,6.98443
43,19.9555,6.98443
44,19.9555,6.98443
45,19.9555,6.98443
46,19.9555,6.98443
47,4.27338,6.77947
48,19.9555,6.98443
49,19.9555,6.98443
50,19.9555,6.98443
51,19.9555,6.98443
52,19.9555,6.98443
53,19.9555,6.98443
54,19.9555,6.98443
55,19.9555,6.98443
56,19.9555,6.98443
57,19.9555,6.98443
58,8.65839,-6.861
59,15.0185,-5.32167
60,11.6452,8.29829
61,3.16213,6.79175
62,19.9555,6.98443
63,19.9555,6.98443
64,13.1878,-1.44375
65,13.6137,7.59288
66,19.9555,6.98443
67,19.9555,6.98443
68,5.27735,0.0222023
69,3.41027,7.0195
70,19.9555,6.98443
71,19.9555,6.98443
72,19.9555,6.98443
73,11.2541,1.81483
74,7.66722,-5.2502
75,0.607852,-0.602484
76,19.9555,6.98443
77,2.24943,-2.75391
78,0.449584,7.00882
79,19.9555,6.98443
80,11.5282,-2.7096
81,16.8261,1.56845
82,-2.94902,7.06547
83,-0.851679,6.99103
84,-0.29345,-0.718187
85,1.20596,2.04158
86,6.13584,6.73102
87,19.9555,6.98443
88,13.8777,-3.42118
89,19.9555,6.98443
90,0.049434,-1.43586
91,19.9555,6.98443
92,19.9555,6.98443
93,19.9555,6.98443
94,19.9555,6.98443
95,19.9555,6.98443
96,19.9555,6.98443
97,19.9555,6.98443
98,19.9555,6.98443
99,19.9555,6.98443
100,0.00548653,6.98529
101,19.9555,6.98443
102,3.93075,6.58911
103,19.9555,6.98443
104,-5.10206,4.09915
105,19.9555,6.98442
106,19.9555,6.98443
107,-2.22182,1.33292
108,19.9555,6.98443
109,19.9555,6.98443
110,5.42,6.982
111,12.3211,-6.27163
112,19.9555,6.98443
113,19.9555,6.98443
114,19.9555,6.98443
115,17.3521,1.95397
116,19.9555,6.98443
117,19.9555,6.98443
118,19.9555,6.98443
119,8.15858,8.3981
120,19.9555,6.98443
121,19.9555,6.98443
122,19.9555,6.98443
123,19.9555,6.98443
124,19.9555,6.98443
125,10.8479,8.42909
126,19.9555,6.98443
127,5.69738,-3.76467
128,19.9555,6.98443
129,19.9555,6.98443
130,19.9555,6.98443
131,2.96964,-2.26405
132,4.78203,6.91135
133,1.93276,0.268724
134,-4.37399,2.10446
135,19.9555,6.98443
136,19.9555,6.98443
137,8.6991,6.86436
138,19.9487,6.98212
139,0.664984,6.53338
140,19.9555,6.98443
141,19.9555,6.98443
142,19.9555,6.98442
143,2.62847,-1.23438
144,19.9555,6.98443
145,19.9555,6.98443
146,19.9555,6.98443
147,19.9555,6.98443
148,11.252,8.99133
149,0.162824,0.350288
150,-0.590035,1.60994
151,19.9555,6.98443
152,19.9555,6.98443
153,9.08589,7.60728
154,19.9555,6.98443
155,19.9555,6.98443
156,11.8683,-3.59113
157,19.9555,6.98443
158,19.9555,6.98443
159,11.5095,-7.41475
160,-4.14182,6.93619
161,19.9555,6.98443
162,19.9555,6.98443
163,19.9555,6.98443
164,13.5403,-0.551241
165,19.9555,6.98443
166,1.21504,-3.32573
167,3.86561,6.58203
168,19.9555,6.98443
169,19.9555,6.98443
170,5.26606,-1.91927
171,19.9555,6.98443
172,6.00615,7.44143
173,19.9555,6.98443
174,4.20838,0.841024
175,-2.25597,1.96575
176,10.5767,8.58143
177,19.9555,6.98443
178,-4.05175,-0.620946
179,3.5745,1.08591
180,19.9556,6.98443
181,19.9555,6.98443
182,19.9555,6.98443
183,19.9555,6.98443
184,0.169768,6.9876
185,19.9555,6.98443
186,19.9555,6.98443
187,19.9555,6.98443
188,3.63914,-6.00994
189,0.679656,6.77821
190,3.72276,-3.25421
191,19.9555,6.98443
192,19.9555,6.98443
193,19.9555,6.98443
194,15.1641,-0.214513
195,19.9555,6.98443
196,12.2051,0.445448
197,11.9273,-5.29456
198,19.9555,6.98443
199,7.4286,-0.383447
200,19.9555,6.98443
