Particle (i),X,Y
1,-20,-7.00005
2,-20,-6.99999
3,-19.9992,-6.99993
4,-19.9998,-7.00001
5,-20,-6.9999
6,-20.0003,-6.9999
7,-20,-6.99966
8,-20.0003,-6.98578
9,-20,-6.99993
10,-20,-7.00012
11,-19.9826,-6.98505
12,-20,-7.00014
13,-19.9999,-6.99985
14,-20.0518,-6.99366
15,-20,-6.99999
16,-20.0001,-7
17,-20,-7.00001
18,-20.0455,-6.99994
19,-20,-7
20,-19.9962,-7.00062
21,-20,-6.99971
22,-19.9998,-7.00006
23,-20,-7.00001
24,-20.0004,-6.99949
25,-20.0006,-7.00111
26,-19.9999,-6.99992
27,-19.9999,-7.00001
28,-20.0022,-7.00044
29,-20.0001,-7
30,-20,-6.99998
