Particle (i),X,Y
1,-19.9884,-6.74913
2,-20.0388,-6.84475
3,-20.4162,-6.95674
4,-19.947,-6.9554
5,-19.9436,-7.01742
6,-20.0023,-6.68497
7,-19.9132,-7.34851
8,-20.0011,-7.1722
9,-19.903,-7.04471
10,-19.9968,-6.61874
11,-20.1274,-6.94682
12,-19.9626,-7.11196
13,-19.9928,-6.82055
14,-20.0448,-6.63286
15,-19.9945,-7.06639
16,-19.3842,-7.19712
17,-19.5831,-7.06213
18,-19.9237,-6.75994
19,-20.1239,-6.42662
20,-20.9247,-6.66897
21,-19.9528,-6.6373
22,-19.9201,-6.48982
23,-20.1306,-6.78634
24,-20.1917,-7.02377
25,-20,-6.31199
26,-20.0025,-7.64393
27,-20.0605,-6.61241
28,-20.387,-6.99065
29,-19.9933,-7.00693
30,-20.2587,-6.9513
