Particle (i),X,Y
1,-19.9994,-7.00006
2,-19.9892,-7.00007
3,-20.0811,-6.98718
4,-19.9994,-6.99998
5,-19.9982,-6.93428
6,-20.0508,-7.09448
7,-20.3376,-6.76517
8,-20,-6.99996
9,-20.0064,-6.98683
10,-20.2173,-6.96426
11,-20.4613,-6.98739
12,-20.0066,-6.99903
13,-20.0008,-6.95254
14,-20.0887,-6.99728
15,-19.9858,-6.73868
16,-20.0007,-6.7673
17,-19.97,-7.07527
18,-20,-7
19,-20.0572,-6.98827
20,-19.7111,-6.91784
21,-20.0006,-6.99155
22,-20.0136,-7.20517
23,-19.7771,-6.77973
24,-20.2672,-7.00581
25,-20,-7.00247
26,-19.9985,-7.22453
27,-19.9323,-7.41472
28,-19.9846,-7.12077
29,-19.9982,-6.99506
30,-19.9867,-7.10809
