Particle (i),X,Y
1,-20,-6.99957
2,-19.9995,-7.00039
3,-20.0002,-7.00091
4,-20,-7
5,-20,-6.99999
6,-20,-7.00001
7,-19.9996,-7.00539
8,-20.0049,-6.99942
9,-20,-7
10,-19.9985,-7.00033
11,-20.0047,-6.9862
12,-20.0006,-6.9978
13,-19.9992,-6.99807
14,-19.9851,-7.00038
15,-19.9998,-7.00031
16,-20,-6.99995
17,-19.9999,-7.00021
18,-19.9495,-7.00001
19,-20,-7
20,-20.0078,-6.99827
21,-20,-7.00001
22,-20.0038,-6.99986
23,-20,-6.99946
24,-20,-6.99917
25,-19.974,-6.97038
26,-20,-6.99999
27,-20,-7
28,-19.9933,-7.00187
29,-20,-6.99999
30,-20.0003,-7.00029
