Particle (i),X,Y
1,-19.9998,-7.00553
2,-19.9923,-6.99598
3,-20.0037,-7.05893
4,-19.9924,-7.12879
5,-20.1479,-6.99799
6,-19.9988,-6.87303
7,-19.7921,-7.03741
8,-20.0921,-6.7246
9,-20.3743,-7.01112
10,-20.2805,-6.99862
11,-19.8037,-7.00016
12,-20,-7.09539
13,-19.9999,-6.99991
14,-19.9983,-6.99966
15,-20,-7
16,-19.998,-7.00624
17,-20.1362,-7.00047
18,-20.0012,-7.10987
19,-20.0248,-7.02326
20,-20.109,-6.96327
21,-19.9941,-6.98056
22,-19.978,-7.00512
23,-19.5429,-7.00153
24,-20.02,-6.60933
25,-19.9807,-6.98681
26,-19.8369,-6.99976
27,-19.9905,-6.66141
28,-20.0203,-7.02314
29,-20.0004,-6.99826
30,-20.0116,-6.98094
