Particle (i),X,Y
1,0.631864,0.393015
2,19.9555,6.98443
3,5.01365,-1.492
4,17.1958,2.2369
5,-2.50129,1.46029
6,-1.29441,0.736493
7,9.66701,-6.10891
8,19.9555,6.98443
9,5.34965,6.83674
10,4.33727,6.93125
11,19.9555,6.98443
12,19.9555,6.98443
13,19.9555,6.98443
14,19.9555,6.98443
15,10.8134,-5.85755
16,19.9555,6.98443
17,19.9555,6.98443
18,19.9555,6.98443
19,-4.96712,5.88089
20,19.9555,6.98443
21,-4.60616,6.68656
22,19.9555,6.98443
23,11.486,-1.04367
24,7.10871,-3.77138
25,4.55849,6.67676
26,4.12038,5.81909
27,8.79317,-1.33897
28,19.9555,6.98443
29,-3.68337,7.27788
30,1.18358,1.78125
31,-2.90941,0.218366
32,19.9555,6.98443
33,7.56269,-3.63838
34,11.8056,8.37766
35,5.23834,8.44765
36,19.9555,6.98443
37,19.9555,6.98443
38,19.9555,6.98443
39,19.9555,6.98443
40,9.70196,-5.62624
41,10.691,9.5311
42,19.9555,6.98443
43,19.9555,6.98443
44,19.9555,6.98443
45,19.9555,6.98443
46,15.7822,1.53293
47,-1.47056,5.41355
48,19.9555,6.98443
49,19.9555,6.98443
50,19.9555,6.98443
51,19.9555,6.98443
52,19.9555,6.98443
53,19.9555,6.98443
54,19.9555,6.98443
55,19.9555,6.98443
56,19.9555,6.98443
57,19.9555,6.98443
58,9.82113,-4.22135
59,13.6757,-1.91302
60,10.9138,10.125
61,3.32743,6.60212
62,19.9555,6.98443
63,19.9555,6.98443
64,11.4431,-0.451912
65,9.67062,7.79977
66,19.9555,6.98443
67,19.9555,6.98443
68,5.33054,-3.15872
69,4.85061,6.7959
70,19.9555,6.98443
71,19.9555,6.98443
72,13.3479,9.3688
73,14.1848,0.535507
74,5.2171,-2.717
75,-2.16401,-3.12127
76,19.9555,6.98443
77,2.4348,-2.41675
78,2.08599,6.99513
79,19.9555,6.98443
80,12.144,-3.00115
81,19.9584,7.08223
82,2.56288,6.59261
83,-3.48632,7.04309
84,4.70725,-0.570175
85,-2.09947,2.62605
86,2.32316,6.99291
87,19.9555,6.98443
88,15.2926,-2.38676
89,19.9555,6.98443
90,3.94134,-3.97483
91,19.9555,6.98443
92,19.9555,6.98443
93,19.9555,6.98443
94,19.9555,6.98443
95,19.9555,6.98443
96,19.9555,6.98443
97,19.9555,6.98443
98,19.9555,6.98443
99,19.9555,6.98443
100,-0.615804,6.96721
