Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
20,30,50,0.033,0.6

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best

1,0.198757,0.991904,14
2,0.689514,0.977383,13
3,0.464244,0.837012,14
4,0.354733,0.441145,11
5,0.433593,0.817721,13
6,0.405258,0.850887,13
7,0.383272,0.423649,13
8,0.309396,0.959024,15
9,0.191099,0.501571,15
10,0.160262,0.616983,14
11,0.120107,0.461167,14
12,0.0933756,0.388934,12
13,0.0792153,0.119086,13
14,0.067892,0.117655,12
15,0.0727559,0.423632,12
16,0.104562,0.423508,12
17,0.103704,0.432613,13
18,0.102294,0.419062,13
19,0.0821315,0.142886,12
20,0.0935603,0.206825,13
21,0.0842662,0.205338,9
22,0.0658997,0.0964577,12
23,0.05004,0.0964391,11
24,0.0893608,0.298323,11
25,0.0608501,0.298323,11
26,0.173048,0.355065,11
27,0.255144,0.416254,9
28,0.26652,0.416462,11
29,0.242717,0.420801,12
30,0.214449,0.308334,11
31,0.278696,0.417157,10
32,0.263108,0.351477,11
33,0.224702,0.417435,11
34,0.251165,0.435575,12
35,0.183017,0.308758,12
36,0.171079,0.391498,10
37,0.220053,0.560127,11
38,0.289612,0.560036,10
39,0.271154,0.658304,9
40,0.265704,0.558594,9
41,0.286643,0.564392,9
42,0.257121,0.405297,11
43,0.277095,0.564404,10
44,0.253891,0.564404,10
45,0.282836,0.781573,11
46,0.257996,0.564586,11
47,0.254936,0.310941,11
48,0.290485,0.394601,10
49,0.272465,0.612876,12
50,0.290851,0.43899,12

1,0.11135,0.970761,16
2,0.129994,0.44259,12
3,0.0853237,0.119249,13
4,0.105083,0.242787,12
5,0.108551,0.242873,13
6,0.107818,0.242787,12
7,0.0961748,0.117816,12
8,0.165467,0.486621,12
9,0.102232,0.345923,12
10,0.129451,0.486641,13
11,0.127715,0.48726,13
12,0.104209,0.221804,11
13,0.131403,0.242793,12
14,0.139765,0.734163,11
15,0.107923,0.242531,13
16,0.107304,0.242531,13
17,0.113789,0.242531,13
18,0.153054,0.491269,14
19,0.111634,0.41925,13
20,0.111438,0.40986,12
21,0.0969741,0.117502,11
22,0.11734,0.253671,14
23,0.118135,0.444476,12
24,0.111953,0.243913,15
25,0.128789,0.488725,15
26,0.110677,0.246496,14
27,0.122937,0.498382,14
28,0.10504,0.122762,14
29,0.111379,0.235289,12
30,0.132547,0.488354,12
31,0.10184,0.121927,14
32,0.0592807,0.318096,11
33,0.0569646,0.318205,11
34,0.0454438,0.161213,12
35,0.0758309,0.332307,12
36,0.0990739,0.652351,13
37,0.468309,0.665771,14
38,0.592586,0.655683,14
39,0.557204,0.665771,14
40,0.208859,0.665771,14
41,0.37769,0.669218,16
42,0.5012,0.725665,16
43,0.424679,0.710951,15
44,0.600165,0.707591,15
45,0.590129,0.89914,14
46,0.622495,0.903588,15
47,0.559349,0.903727,16
48,0.643219,0.89914,14
49,0.62582,0.899019,11
50,0.606625,0.899036,12

1,0.0611486,0.448565,10
2,0.280952,0.978253,12
3,0.433517,0.806555,11
4,0.394965,0.419145,11
5,0.401899,0.790604,10
6,0.392848,0.806555,11
7,0.316623,0.806618,12
8,0.083518,0.434893,10
9,0.0567233,0.42575,9
10,0.0551718,0.412358,9
11,0.0247228,0.407979,8
12,0.0148096,0.0376475,9
13,0.0144892,0.0419343,9
14,0.0177994,0.0413753,8
15,0.0171051,0.0376625,9
16,0.0255319,0.423627,12
17,0.0423225,0.50088,11
18,0.0343221,0.442013,13
19,0.0396231,0.424756,13
20,0.0259526,0.0982024,12
21,0.0286941,0.432744,12
22,0.00829887,0.0186685,11
23,0.0279243,0.430434,10
24,0.0116722,0.0997871,9
25,0.00338592,0.0180021,11
26,0.00761607,0.0442624,13
27,0.0150735,0.214069,11
28,0.0314585,0.432726,11
29,0.19312,0.835153,12
30,0.307486,0.512214,13
31,0.43858,0.835161,13
32,0.419027,0.833856,10
33,0.368225,0.487929,9
34,0.313045,0.480314,12
35,0.346983,0.766232,9
36,0.260656,0.600355,8
37,0.10811,0.30415,8
38,0.0970904,0.513971,9
39,0.084801,0.358229,8
40,0.0898271,0.360172,9
41,0.0940843,0.328397,7
42,0.248379,0.366058,9
43,0.172773,0.358229,8
44,0.120652,0.314768,7
45,0.157918,0.178906,10
46,0.191545,0.706928,10
47,0.17871,0.692776,11
48,0.143123,0.1707,9
49,0.21673,0.672848,9
50,0.155198,0.24081,10

1,0.109477,0.924299,15
2,0.250558,0.618801,7
3,0.174452,0.359184,11
4,0.310378,0.504758,12
5,0.318719,0.620387,8
6,0.328084,0.362997,10
7,0.304374,0.359666,13
8,0.313456,0.673195,9
9,0.282647,0.343706,9
10,0.315297,0.627022,10
11,0.205271,0.358911,9
12,0.191869,0.351577,11
13,0.17103,0.35964,11
14,0.218928,0.408737,10
15,0.147372,0.344028,10
16,0.0767646,0.588626,10
17,0.0308997,0.298615,11
18,0.0207701,0.282416,8
19,0.00901082,0.0111854,8
20,0.0095661,0.0102072,11
21,0.0106702,0.026181,8
22,0.00982511,0.0115327,10
23,0.0315878,0.292136,8
24,0.0202947,0.293785,11
25,0.0201823,0.305305,10
26,0.032915,0.379241,8
27,0.0393323,0.293753,9
