Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
40,30,10,0.033,0.6

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best

1,1.1779e+72,1.76685e+72,20
2,6.47844e+71,1.76685e+72,18
3,7.65634e+71,1.76685e+72,23
4,8.83424e+71,1.76685e+72,20
5,8.83424e+71,1.76685e+72,20
6,1.1779e+72,1.76685e+72,29
7,8.83424e+71,1.76685e+72,20
8,8.83424e+71,1.76685e+72,21
9,8.83424e+71,1.76685e+72,25
10,8.83424e+71,1.76685e+72,23

1,9.42318e+71,1.76685e+72,21
2,1.119e+72,1.76685e+72,20
3,7.65634e+71,1.76685e+72,22
4,7.65634e+71,1.76685e+72,20
5,1.00121e+72,1.76685e+72,17
6,7.06739e+71,1.76685e+72,18
7,8.24529e+71,1.76685e+72,27
8,1.23679e+72,1.76685e+72,24
9,7.06739e+71,1.76685e+72,22
10,8.24529e+71,1.76685e+72,22

1,9.42318e+71,1.76685e+72,22
2,8.83424e+71,1.76685e+72,25
3,7.06739e+71,1.76685e+72,23
4,1.00121e+72,1.76685e+72,19
5,4.71159e+71,1.76685e+72,22
6,8.24529e+71,1.76685e+72,21
7,9.42318e+71,1.76685e+72,20
8,1.119e+72,1.76685e+72,20
9,7.65634e+71,1.76685e+72,18
10,9.42318e+71,1.76685e+72,19

1,6.47844e+71,1.76685e+72,19
2,7.06739e+71,1.76685e+72,22
3,6.47844e+71,1.76685e+72,22
4,6.47844e+71,1.76685e+72,23
5,7.65634e+71,1.76685e+72,26
6,5.88949e+71,1.76685e+72,27
7,7.65634e+71,1.76685e+72,25
8,1.00121e+72,1.76685e+72,22
9,8.24529e+71,1.76685e+72,22
10,8.83424e+71,1.76685e+72,22

1,8.83424e+71,1.76685e+72,21
2,5.30054e+71,1.76685e+72,20
3,1.00121e+72,1.76685e+72,19
4,8.83424e+71,1.76685e+72,21
5,9.42318e+71,1.76685e+72,25
6,8.83424e+71,1.76685e+72,15
7,7.65634e+71,1.76685e+72,21
8,9.42318e+71,1.76685e+72,23
9,7.65634e+71,1.76685e+72,25
10,8.83424e+71,1.76685e+72,28

1,1.00121e+72,1.76685e+72,24
2,8.83424e+71,1.76685e+72,17
3,7.06739e+71,1.76685e+72,20
4,6.47844e+71,1.76685e+72,25
5,1.06011e+72,1.76685e+72,22
6,7.65634e+71,1.76685e+72,21
7,9.42318e+71,1.76685e+72,26
8,7.65634e+71,1.76685e+72,23
9,8.24529e+71,1.76685e+72,22
10,7.65634e+71,1.76685e+72,20

1,1.00121e+72,1.76685e+72,24
2,7.65634e+71,1.76685e+72,21
3,8.24529e+71,1.76685e+72,25
4,5.88949e+71,1.76685e+72,25
5,6.47844e+71,1.76685e+72,20
6,8.24529e+71,1.76685e+72,20
7,8.83424e+71,1.76685e+72,23
8,8.24529e+71,1.76685e+72,30
9,8.83424e+71,1.76685e+72,30
10,8.83424e+71,1.76685e+72,26

1,7.06739e+71,1.76685e+72,21
2,1.00121e+72,1.76685e+72,18
3,9.42318e+71,1.76685e+72,21
4,1.00121e+72,1.76685e+72,19
5,8.24529e+71,1.76685e+72,27
6,9.42318e+71,1.76685e+72,20
7,8.24529e+71,1.76685e+72,25
8,7.65634e+71,1.76685e+72,26
9,1.00121e+72,1.76685e+72,26
10,7.65634e+71,1.76685e+72,21

1,1.06011e+72,1.76685e+72,21
2,9.42318e+71,1.76685e+72,24
3,1.06011e+72,1.76685e+72,27
4,1.06011e+72,1.76685e+72,23
5,7.65634e+71,1.76685e+72,21
6,9.42318e+71,1.76685e+72,26
7,9.42318e+71,1.76685e+72,24
8,8.24529e+71,1.76685e+72,18
9,7.65634e+71,1.76685e+72,26
10,1.119e+72,1.76685e+72,26

1,8.83424e+71,1.76685e+72,19
2,8.83424e+71,1.76685e+72,19
3,1.06011e+72,1.76685e+72,28
4,7.65634e+71,1.76685e+72,18
5,7.06739e+71,1.76685e+72,23
6,1.06011e+72,1.76685e+72,22
7,8.83424e+71,1.76685e+72,24
8,1.06011e+72,1.76685e+72,19
9,1.119e+72,1.76685e+72,22
10,1.00121e+72,1.76685e+72,22

1,8.24529e+71,1.76685e+72,21
2,8.83424e+71,1.76685e+72,17
3,8.24529e+71,1.76685e+72,28
4,7.06739e+71,1.76685e+72,23
5,8.24529e+71,1.76685e+72,23
6,7.06739e+71,1.76685e+72,19
7,9.42318e+71,1.76685e+72,19
8,8.24529e+71,1.76685e+72,23
9,1.1779e+72,1.76685e+72,24
10,8.24529e+71,1.76685e+72,28

1,1.06011e+72,1.76685e+72,24
2,7.06739e+71,1.76685e+72,23
3,1.119e+72,1.76685e+72,28
4,8.24529e+71,1.76685e+72,23
5,7.65634e+71,1.76685e+72,26
6,8.83424e+71,1.76685e+72,25
7,8.24529e+71,1.76685e+72,22
8,8.83424e+71,1.76685e+72,22
9,9.42318e+71,1.76685e+72,22
10,8.83424e+71,1.76685e+72,21

1,1.1779e+72,1.76685e+72,20
2,6.47844e+71,1.76685e+72,24
3,1.1779e+72,1.76685e+72,22
4,1.06011e+72,1.76685e+72,21
5,1.00121e+72,1.76685e+72,26
6,6.47844e+71,1.76685e+72,20
7,8.24529e+71,1.76685e+72,21
8,8.24529e+71,1.76685e+72,24
9,8.83424e+71,1.76685e+72,20
10,8.83424e+71,1.76685e+72,30

1,8.83424e+71,1.76685e+72,23
2,1.00121e+72,1.76685e+72,22
3,7.65634e+71,1.76685e+72,21
4,1.06011e+72,1.76685e+72,25
5,9.42318e+71,1.76685e+72,23
6,7.06739e+71,1.76685e+72,21
7,1.00121e+72,1.76685e+72,20
8,8.83424e+71,1.76685e+72,20
9,1.00121e+72,1.76685e+72,26
10,9.42318e+71,1.76685e+72,22

1,9.42318e+71,1.76685e+72,24
2,7.06739e+71,1.76685e+72,26
3,8.24529e+71,1.76685e+72,22
4,8.83424e+71,1.76685e+72,23
5,5.88949e+71,1.76685e+72,23
6,7.65634e+71,1.76685e+72,23
7,1.1779e+72,1.76685e+72,19
8,9.42318e+71,1.76685e+72,23
9,7.06739e+71,1.76685e+72,28
10,8.83424e+71,1.76685e+72,25

1,8.24529e+71,1.76685e+72,20
2,8.24529e+71,1.76685e+72,26
3,6.47844e+71,1.76685e+72,21
4,8.24529e+71,1.76685e+72,21
5,7.65634e+71,1.76685e+72,20
6,8.24529e+71,1.76685e+72,26
7,8.24529e+71,1.76685e+72,27
8,8.83424e+71,1.76685e+72,21
9,7.06739e+71,1.76685e+72,22
10,8.24529e+71,1.76685e+72,22

1,6.47844e+71,1.76685e+72,23
2,1.1779e+72,1.76685e+72,28
3,7.65634e+71,1.76685e+72,20
4,9.42318e+71,1.76685e+72,19
5,7.65634e+71,1.76685e+72,28
6,9.42318e+71,1.76685e+72,25
7,1.23679e+72,1.76685e+72,21
8,8.24529e+71,1.76685e+72,23
9,5.88949e+71,1.76685e+72,28
10,8.24529e+71,1.76685e+72,21

1,7.06739e+71,1.76685e+72,23
2,8.83424e+71,1.76685e+72,17
3,8.83424e+71,1.76685e+72,22
4,1.00121e+72,1.76685e+72,19
5,9.42318e+71,1.76685e+72,24
6,1.00121e+72,1.76685e+72,20
7,6.47844e+71,1.76685e+72,21
8,8.24529e+71,1.76685e+72,20
9,1.06011e+72,1.76685e+72,26
10,8.24529e+71,1.76685e+72,27

1,5.30054e+71,1.76685e+72,24
