Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
20,30,20,0.033,0.6

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best

1,0.0976977,0.987567,14
2,0.0990616,0.807932,11
3,0.215862,0.934369,11
4,0.0610767,0.50776,12
5,0.138132,0.914642,15
6,0.183887,0.967202,14
7,0.141393,0.918222,13
8,0.149431,0.911365,12
9,0.0525267,0.922231,16
10,0.15955,0.852596,15
11,0.0578996,0.989209,16
12,0.080191,0.984404,13
13,0.0810261,0.565984,14
14,0.0585939,0.430014,9
15,0.20205,0.982647,14
16,0.0588268,0.483691,10
17,0.0596621,0.839958,14
18,0.0984934,0.571067,10
19,0.136243,0.794603,13
20,0.0683285,0.821692,10

1,0.0700747,0.601168,12
2,0.0661321,0.797049,9
3,0.074324,0.524103,17
4,0.0620998,0.570428,9
5,0.0773978,0.673168,8
6,0.0816601,0.784895,15
7,0.162458,0.887886,14
8,0.134142,0.963156,13
9,0.0648767,0.386106,10
10,0.174738,0.953162,13
11,0.0617514,0.436673,11
12,0.07372,0.878887,14
13,0.0774107,0.716181,12
14,0.0504485,0.547038,8
15,0.173693,0.845911,12
16,0.0414767,0.357794,15
17,0.041874,0.764425,14
18,0.0318799,0.604628,11
19,0.0675737,0.607271,12
20,0.114943,0.751414,10

1,0.110199,0.825609,10
2,0.0526659,0.854134,17
3,0.189637,0.883201,13
4,0.195159,0.915223,13
5,0.12253,0.864785,13
6,0.0737036,0.757334,13
7,0.0558031,0.689132,12
8,0.0938492,0.532405,11
9,0.0539756,0.973495,12
10,0.126088,0.991857,15
11,0.0759654,0.743444,10
12,0.041127,0.460393,12
13,0.0691131,0.794402,12
14,0.189164,0.920804,13
15,0.0786549,0.768306,12
16,0.0862653,0.787468,14
17,0.105388,0.94956,15
18,0.174237,0.960301,15
19,0.107373,0.704544,11
20,0.0681452,0.842104,13

1,0.0881072,0.787291,13
2,0.116373,0.921965,16
3,0.16749,0.872371,11
4,0.0536196,0.751812,12
5,0.118937,0.974556,15
6,0.0655545,0.83223,15
7,0.0625189,0.800267,15
8,0.180987,0.803911,12
9,0.0235086,0.252276,9
10,0.0802106,0.823564,10
11,0.0959757,0.913139,15
12,0.0694191,0.970511,13
13,0.0547049,0.614333,12
14,0.156113,0.862687,13
15,0.128779,0.812627,13
16,0.172357,0.920007,17
17,0.166176,0.96405,10
18,0.0889159,0.69732,16
19,0.0527166,0.406233,13
20,0.0458358,0.371037,12

1,0.0534496,0.632627,12
2,0.108048,0.880842,12
3,0.140791,0.772635,13
4,0.0790352,0.617941,12
5,0.0231421,0.246021,11
6,0.0608021,0.94967,15
7,0.072307,0.801555,11
8,0.145066,0.953327,13
9,0.0843364,0.717672,13
10,0.0490417,0.611595,14
11,0.111855,0.967248,12
12,0.087096,0.953628,13
13,0.0816666,0.94815,10
14,0.0559492,0.49715,12
15,0.100107,0.724315,10
16,0.0765849,0.961387,17
17,0.157021,0.772325,12
18,0.0888435,0.875573,15
19,0.0542253,0.410112,11
20,0.131039,0.871553,10

1,0.0845532,0.820894,15
2,0.0659355,0.62404,12
3,0.085522,0.737963,11
4,0.0459161,0.45282,8
5,0.0854308,0.712763,13
6,0.102323,0.760354,11
7,0.0709769,0.510305,11
8,0.0414062,0.222151,12
9,0.0896061,0.720195,16
10,0.120404,0.898672,13
11,0.0691983,0.836857,14
12,0.0881741,0.748322,12
13,0.185324,0.952322,11
14,0.0867409,0.648763,11
15,0.0477732,0.809287,13
16,0.111845,0.957941,13
17,0.0938494,0.824879,13
18,0.0970374,0.847003,12
19,0.0412337,0.495354,11
20,0.183932,0.993581,16

1,0.0923403,0.981211,14
2,0.0948277,0.703487,12
3,0.0345368,0.269819,8
4,0.10731,0.774421,12
5,0.100086,0.873848,11
6,0.13034,0.816735,14
7,0.115722,0.839836,10
8,0.141175,0.883542,13
9,0.0981141,0.828607,14
10,0.101197,0.995821,14
11,0.101091,0.952678,12
12,0.1647,0.984535,16
13,0.0329018,0.198254,8
14,0.0324516,0.297361,10
15,0.0729209,0.904798,14
16,0.0835593,0.652598,13
17,0.0937903,0.92091,13
18,0.0744411,0.74313,11
19,0.201393,0.757913,8
20,0.0786054,0.453287,11

1,0.142897,0.876309,11
2,0.0721408,0.905461,13
3,0.0753176,0.770588,12
4,0.104383,0.887509,14
5,0.0854622,0.470183,12
6,0.0444634,0.498836,11
7,0.0408068,0.560783,12
8,0.219684,0.985787,12
9,0.0330647,0.492669,8
10,0.0874541,0.942846,17
11,0.0956267,0.796342,13
12,0.0749981,0.755761,12
13,0.141172,0.666625,12
14,0.0161421,0.309212,10
15,0.0737047,0.934845,15
16,0.101749,0.750588,9
17,0.159492,0.96406,11
18,0.0800872,0.501858,15
19,0.0924491,0.739662,11
20,0.177657,0.976282,14

1,0.0898499,0.88108,12
2,0.0748138,0.716407,13
3,0.0584894,0.834885,16
4,0.0448702,0.576412,10
5,0.086439,0.753237,13
6,0.114601,0.808648,13
7,0.119022,0.88408,13
8,0.132271,0.858421,12
9,0.041853,0.354296,10
10,0.144513,0.96514,15
11,0.0465964,0.534767,13
12,0.166227,0.768953,12
13,0.0515976,0.463185,10
14,0.0305957,0.516992,16
15,0.0868373,0.938171,14
16,0.16602,0.944457,12
17,0.0718413,0.376464,9
18,0.0778277,0.952843,12
19,0.0387038,0.395812,10
20,0.0843118,0.591675,12

1,0.115015,0.96228,10
2,0.0659822,0.897608,16
3,0.115989,0.750794,9
4,0.0772611,0.862386,13
5,0.105581,0.774186,14
6,0.0771668,0.752971,13
7,0.163467,0.799658,12
8,0.111215,0.835712,13
9,0.188383,0.970641,13
10,0.166189,0.991564,12
11,0.093587,0.900745,12
12,0.0875295,0.694945,14
13,0.100295,0.962483,13
14,0.112395,0.969713,14
15,0.124852,0.86886,13
16,0.0600076,0.857383,12
17,0.089166,0.594416,9
18,0.0489332,0.813815,13
19,0.0861665,0.940659,12
20,0.115819,0.993752,17

1,0.132374,0.833241,14
2,0.0872313,0.538165,12
3,0.0475951,0.533937,10
4,0.132522,0.965583,14
5,0.132201,0.942746,15
6,0.0463623,0.552185,12
7,0.0778871,0.793348,10
8,0.111646,0.882852,11
9,0.0997984,0.52904,11
10,0.0731435,0.86797,12
11,0.0732706,0.663533,12
12,0.0407545,0.526267,8
13,0.0981626,0.767795,10
14,0.102328,0.674338,14
15,0.079879,0.693332,13
16,0.133971,0.963635,14
17,0.0501813,0.45497,12
18,0.108598,0.67624,13
19,0.127205,0.772053,13
20,0.0745991,0.74618,10

1,0.0517409,0.819928,16
2,0.0254722,0.189488,8
3,0.144299,0.933446,14
4,0.161972,0.923073,14
5,0.10359,0.74599,12
6,0.100432,0.719762,11
7,0.167205,0.890073,10
8,0.0468917,0.573029,9
9,0.110094,0.991516,13
10,0.110572,0.950781,13
11,0.132275,0.971542,12
12,0.153216,0.964226,13
13,0.0506663,0.168704,7
14,0.0948359,0.878632,12
15,0.060542,0.690169,13
16,0.0550198,0.817546,11
17,0.185689,0.934827,14
18,0.112922,0.659863,12
19,0.0686938,0.683748,13
20,0.116239,0.814568,13

1,0.0963508,0.910313,13
2,0.131596,0.988369,15
3,0.0821444,0.662202,12
4,0.118273,0.778203,10
5,0.0241381,0.210448,10
6,0.0388339,0.501038,16
7,0.0941967,0.608465,13
8,0.0585003,0.798762,14
9,0.153798,0.926335,12
10,0.0706596,0.707046,12
11,0.122767,0.797259,12
12,0.120283,0.768667,11
13,0.0154596,0.439973,12
14,0.141838,0.967294,14
15,0.0925159,0.910707,15
16,0.0545486,0.595689,12
17,0.0926898,0.767592,11
18,0.0302231,0.314556,7
19,0.0896212,0.827891,14
20,0.0865521,0.994843,15

1,0.0909533,0.749808,14
2,0.100652,0.956831,17
3,0.0954958,0.951246,13
4,0.092905,0.909945,13
5,0.142497,0.931914,12
6,0.0699696,0.872675,10
7,0.065546,0.539948,10
8,0.101074,0.804851,9
9,0.117525,0.856819,10
10,0.12213,0.956767,14
11,0.146116,0.931207,13
12,0.10323,0.725901,16
13,0.0614007,0.340916,11
14,0.129722,0.904772,15
15,0.0535374,0.382629,8
16,0.101873,0.777617,11
17,0.0403855,0.575332,13
18,0.0501388,0.479108,14
19,0.037949,0.881506,12
20,0.0654021,0.515934,14

1,0.0751923,0.562639,10
2,0.0935411,0.886918,12
3,0.050795,0.524903,8
4,0.13243,0.872557,10
5,0.0680458,0.68873,10
6,0.0321907,0.748991,13
7,0.11421,0.938883,10
8,0.123987,0.992416,14
9,0.0563795,0.437628,14
10,0.140303,0.963801,14
11,0.0834814,0.486805,15
12,0.0670083,0.644872,9
13,0.106234,0.684772,13
14,0.0452443,0.549764,9
15,0.0960021,0.939378,15
16,0.109225,0.876631,12
17,0.074466,0.568085,13
18,0.0813122,0.989568,16
19,0.0546544,0.773278,10
20,0.0678985,0.63398,10

1,0.0854151,0.671967,10
2,0.0640443,0.990901,12
3,0.105907,0.960025,15
4,0.0367545,0.560506,11
5,0.0700037,0.660966,14
6,0.0579986,0.739764,10
7,0.0720639,0.712299,16
8,0.0742803,0.61846,15
9,0.148609,0.985372,15
10,0.143374,0.865254,11
11,0.0925543,0.611607,14
12,0.14772,0.997875,14
13,0.0866567,0.642447,14
14,0.023066,0.422576,13
15,0.0882356,0.821533,9
16,0.0770061,0.828583,14
17,0.0926405,0.695399,12
18,0.0370351,0.326588,11
19,0.147075,0.935815,14
20,0.0991423,0.78324,11

1,0.148642,0.931833,14
2,0.0841267,0.828173,10
3,0.0694073,0.643023,11
4,0.0184738,0.215663,14
5,0.0823817,0.760682,12
6,0.0742919,0.53893,12
7,0.0632136,0.832351,12
8,0.0900865,0.657166,13
9,0.0753326,0.877165,13
10,0.0746812,0.754642,12
11,0.080199,0.893575,12
12,0.0834665,0.93375,10
13,0.0880928,0.751251,9
14,0.0225203,0.241101,9
15,0.166619,0.979768,15
16,0.0437408,0.449447,12
17,0.0612179,0.411092,12
18,0.139005,0.995726,17
19,0.0189324,0.380422,10
20,0.0813375,0.874609,14

1,0.0844779,0.971895,14
2,0.145082,0.751038,11
3,0.0375921,0.415082,12
4,0.0657732,0.671474,8
5,0.113531,0.864584,12
6,0.0855518,0.61045,15
7,0.0588199,0.535457,13
8,0.097667,0.776249,13
9,0.0622128,0.482433,10
10,0.0943245,0.559827,9
11,0.142972,0.999371,18
12,0.0930089,0.956785,15
13,0.0505395,0.368719,13
14,0.074807,0.528916,7
15,0.183272,0.900207,12
16,0.0715282,0.817498,12
17,0.0806661,0.959373,13
18,0.0487099,0.398658,10
19,0.0884976,0.878098,12
20,0.0614436,0.488359,12

1,0.171328,0.953509,12
2,0.032537,0.321291,10
3,0.111908,0.982459,12
4,0.145582,0.809239,13
5,0.100156,0.887252,14
6,0.104344,0.954222,14
7,0.0669525,0.657924,10
8,0.0706114,0.630527,11
9,0.0883736,0.95028,13
10,0.0793424,0.911225,12
11,0.102746,0.793124,9
12,0.0748727,0.497374,13
13,0.137542,0.959364,14
14,0.0911823,0.724972,14
15,0.0856616,0.640995,12
16,0.0419543,0.577243,7
17,0.0952797,0.714967,13
18,0.0939483,0.988388,14
19,0.106095,0.618739,6
20,0.0833938,0.933786,10

1,0.0617587,0.942891,16
2,0.131941,0.9355,11
3,0.113087,0.799892,13
4,0.0676591,0.577737,11
5,0.128973,0.999666,18
6,0.0984502,0.88102,12
7,0.13047,0.959244,17
8,0.053468,0.407924,10
9,0.194697,0.975629,14
10,0.119679,0.982206,14
11,0.0370666,0.643382,12
12,0.108741,0.783768,13
13,0.0489105,0.627066,12
14,0.0755754,0.594297,10
15,0.048924,0.615151,15
16,0.044774,0.340033,10
17,0.0306885,0.305849,12
18,0.125176,0.782245,11
19,0.102428,0.978627,14
20,0.0821033,0.947751,11
