Epoch,Error x, Error y
0,23.5,20
1,23.2444,19.9946
2,22.8297,19.3996
3,22.3896,18.8144
4,21.9451,18.2423
5,21.9276,17.6723
6,21.4898,17.102
7,21.0744,16.5408
8,20.6939,15.9876
9,20.2657,15.4381
10,19.7919,14.9008
11,19.3775,14.364
12,18.9424,13.8414
13,18.5595,13.3208
14,18.1076,12.8103
15,17.6992,12.3073
16,17.2757,11.8077
17,16.88,11.3148
18,16.4687,10.8301
19,16.074,10.354
20,15.6838,9.88605
21,15.2686,9.42257
22,14.8667,8.96927
23,14.4546,8.52528
24,14.0545,8.08978
25,13.6494,7.65881
26,13.2559,7.23658
27,12.8578,6.81983
28,12.4671,6.42145
29,12.0746,6.02807
30,11.6871,5.64365
31,11.3008,5.264
32,10.939,4.89172
33,10.5595,4.53216
34,10.1917,4.18453
35,9.83405,3.85184
36,9.47602,3.52884
37,9.10888,3.22575
38,8.74506,2.93617
39,8.38628,2.66362
40,8.03228,2.41018
41,7.67882,2.17434
42,7.33167,1.95452
43,6.99302,1.75419
44,6.65244,1.56833
45,6.31931,1.38964
46,5.99914,1.23031
47,5.67504,1.08455
48,5.3551,0.942306
49,5.04673,0.823451
50,4.74406,0.689606
51,4.44638,0.562855
52,4.15747,0.437604
53,3.87662,0.319594
54,3.60062,0.217587
55,3.33263,0.148021
56,3.07599,0.0956732
57,2.83353,0.0699782
58,2.60046,0.0668752
59,2.37441,0.07381
60,2.16441,0.0511467
61,1.9646,0.0550631
62,1.77972,0.0568824
63,1.60224,0.0374948
64,1.43476,0.0466836
65,1.28102,0.0383932
66,1.13546,0.0373861
67,1.00063,0.0379967
68,0.881397,0.0289168
69,0.764329,0.0329065
70,0.659533,0.0334325
71,0.567179,0.0385571
72,0.486731,0.0237756
73,0.422012,0.0249972
74,0.366671,0.0194055
75,0.310071,0.0181072
76,0.265004,0.0195593
77,0.208697,0.0139633
78,0.1615,0.0170854
79,0.113531,0.0134731
80,0.0697447,0.012942
81,0.053155,0.0137992
82,0.0614254,0.0132015
83,0.0529545,0.010921
84,0.0415753,0.0123901
85,0.0391659,0.0117782
86,0.0425788,0.0133415
87,0.0365496,0.0186545
88,0.0432316,0.0092505
89,0.0388476,0.0233385
90,0.0369052,0.0116445
91,0.0388941,0.0122392
92,0.0227707,0.00797533
93,0.0300097,0.00877517
94,0.0159761,0.0115256
95,0.0219183,0.00990907
96,0.0256867,0.0152372
97,0.0297521,0.0155059
98,0.0257682,0.0149859
99,0.0291747,0.00545277
100,0.0259576,0.009349
101,0.0268098,0.0130657
102,0.00731276,0.00406702
,,
,,
,,
Converged at epoch: 102,,
