Epoch,Error x, Error y
1,24.2962,21.1597
2,23.8085,20.6324
3,23.3767,20.0878
4,23.0673,19.2736
5,22.6946,18.5735
6,22.2444,17.7821
7,21.8566,17.0288
8,21.3887,16.3017
9,20.7909,15.6074
10,20.2936,14.9137
11,19.794,14.2444
12,19.3188,13.6288
13,18.8959,13.0398
14,18.4755,12.4728
15,18.0466,11.9598
16,17.5819,11.4805
17,17.18,11.0229
18,16.746,10.5642
19,16.3052,10.122
20,15.9708,9.69916
21,15.4859,9.29694
22,15.1098,8.87614
23,14.7472,8.46276
24,14.3553,8.06339
25,13.8773,7.68634
26,13.4554,7.30105
27,13.0284,6.94289
28,12.6241,6.58932
29,12.2135,6.23071
30,11.815,5.89656
31,11.4109,5.57054
32,11.0098,5.26787
33,10.6275,4.9456
34,10.2266,4.64462
35,9.84114,4.344
36,9.49218,4.04906
37,9.10045,3.78968
38,8.70248,3.52678
39,8.32909,3.2675
40,7.96611,3.03394
41,7.6058,2.80996
42,7.24411,2.60074
43,6.88557,2.40227
44,6.54019,2.21168
45,6.18823,2.03928
46,5.86271,1.85967
47,5.53573,1.6881
48,5.21139,1.50885
49,4.90315,1.33671
50,4.59268,1.17342
51,4.29804,0.995835
52,4.01366,0.819409
53,3.72961,0.639977
54,3.44115,0.473294
55,3.14709,0.375734
56,2.85995,0.283275
57,2.58354,0.169042
58,2.31527,0.0910504
59,2.05194,0.074408
60,1.79712,0.052079
61,1.55742,0.0807423
62,1.33047,0.0411182
63,1.11326,0.0286657
64,0.909314,0.0314348
65,0.719418,0.0361794
66,0.547016,0.0349374
67,0.385917,0.00546328
68,0.264837,0.0202799
69,0.169912,0.011766
70,0.0911086,0.0161482
71,0.111005,0.0199059
72,0.11244,0.0180529
73,0.117167,0.0191407
74,0.0904477,0.0286246
75,0.0847254,0.0374808
76,0.0534813,0.0385777
77,0.0690804,0.0234243
78,0.0603375,0.0104813
79,0.0325117,0.0205936
80,0.0616526,0.0107497
81,0.0468948,0.00870223
82,0.0737599,0.0141411
83,0.0230979,0.015008
84,0.0534947,0.00448503
85,0.0584917,0.0108096
86,0.0331186,0.00334275
87,0.038949,0.0096013
88,0.0395673,0.0040506
89,0.0429035,0.0050777
90,0.032771,0.00433983
91,0.0293049,0.00850912
92,0.0409514,0.00459688
93,0.0131722,0.000716826
94,0.0138145,0.00356961
95,0.00914504,0.00104516



Converged at epoch: 95
