Epoch,Error x, Error y
1,24.296,21.1414
2,23.8067,20.5949
3,23.3747,20.0426
4,22.9185,19.2548
5,22.4655,18.4631
6,22.0224,17.6851
7,21.6404,16.913
8,21.1835,16.1698
9,20.6183,15.4643
10,20.1648,14.7691
11,19.6975,14.1028
12,19.2483,13.4805
13,18.8274,12.8878
14,18.4012,12.33
15,17.9699,11.8185
16,17.4997,11.3466
17,17.0889,10.8775
18,16.646,10.427
19,16.5056,9.98699
20,16.0369,9.55984
21,15.5814,9.1468
22,15.146,8.72572
23,14.6199,8.31152
24,14.2303,7.90826
25,13.8068,7.52572
26,13.3859,7.14362
27,12.9777,6.77986
28,12.5729,6.42154
29,12.1631,6.06412
30,11.7684,5.7231
31,11.3649,5.39443
32,10.9618,5.07751
33,10.5859,4.75442
34,10.1942,4.45241
35,9.79911,4.15778
36,9.45425,3.87186
37,9.06602,3.60428
38,8.66779,3.34288
39,8.29466,3.09731
40,7.93212,2.87156
41,7.57001,2.65956
42,7.2083,2.46446
43,6.84969,2.274
44,6.50554,2.09658
45,6.1488,1.91289
46,5.814,1.73613
47,5.47873,1.55753
48,5.15699,1.37625
49,4.85277,1.19955
50,4.54153,1.0306
51,4.25198,0.849914
52,3.96861,0.675375
53,3.68552,0.511276
54,3.39863,0.369383
55,3.10766,0.307971
56,2.82726,0.24613
57,2.55352,0.168652
58,2.29154,0.208037
59,2.03375,0.19846
60,1.78776,0.216115
61,1.55118,0.207147
62,1.32586,0.191245
63,1.11613,0.152216
64,0.910345,0.148515
65,0.730729,0.145703
66,0.557304,0.18982
67,0.417256,0.158169
68,0.296831,0.129898
69,0.249915,0.179593
70,0.174334,0.158707
71,0.174163,0.145453
72,0.158557,0.145432
73,0.200426,0.164018
74,0.169087,0.136502
75,0.202645,0.179733
76,0.174733,0.129232
77,0.141276,0.146414
78,0.124374,0.157497
79,0.158614,0.154695
80,0.156666,0.173831
81,0.152836,0.174787
82,0.116945,0.240104
83,0.142262,0.180506
84,0.147504,0.188977
85,0.171133,0.189273
86,0.138314,0.160796
87,0.144199,0.126405
88,0.20685,0.161097
89,0.17263,0.201299
90,0.153136,0.154421
91,0.1943,0.147121
92,0.193844,0.164686
93,0.10742,0.143239
94,0.15921,0.184476
95,0.108863,0.161269
96,0.132759,0.211651
97,0.0871359,0.191378
98,0.121439,0.188192
99,0.117252,0.150945
100,0.115467,0.12026
101,0.114998,0.142827
102,0.0855848,0.141232
103,0.0731658,0.16719
