Epoch,Error x, Error y
1,24.296,21.1471
2,23.8071,20.6066
3,23.3757,20.0568
4,22.9194,19.2686
5,22.4666,18.4847
6,22.0246,17.7114
7,21.6446,16.9395
8,21.1892,16.1986
9,20.6307,15.4972
10,20.1784,14.8025
11,19.7109,14.1361
12,19.2628,13.5181
13,18.8418,12.9282
14,18.4174,12.3697
15,17.9866,11.8599
16,17.5171,11.3876
17,17.1064,10.9163
18,16.6652,10.4638
19,16.398,10.0241
20,15.9476,9.59883
21,15.4933,9.18831
22,15.0591,8.76633
23,14.6359,8.35305
24,14.2457,7.95131
25,13.8336,7.57297
26,13.4056,7.18733
27,12.9977,6.82701
28,12.5977,6.46721
29,12.1926,6.11186
30,11.7971,5.77252
31,11.3933,5.44592
32,10.9907,5.13406
33,10.6149,4.81184
34,10.209,4.50844
35,9.82108,4.21276
36,9.46695,3.9238
37,9.06705,3.65945
38,8.67096,3.39677
39,8.29804,3.14612
40,7.93671,2.91633
41,7.57457,2.7017
42,7.21358,2.50115
43,6.85464,2.30788
44,6.50939,2.12779
45,6.15361,1.94764
46,5.82312,1.76898
47,5.48835,1.59097
48,5.16624,1.40934
49,4.85987,1.23545
50,4.55017,1.0652
51,4.25811,0.885206
52,3.97343,0.708325
53,3.68825,0.534268
54,3.40111,0.369052
55,3.10903,0.287701
56,2.82573,0.196668
57,2.55307,0.0923357
58,2.28903,0.0793432
59,2.02811,0.110358
60,1.77938,0.0334857
61,1.54196,0.09255
62,1.31928,0.0547595
63,1.10429,0.0299611
64,0.902445,0.0173727
65,0.711947,0.00925553
66,0.531824,0.0239416
67,0.387748,0.00873294
68,0.254928,0.00868414
69,0.142889,0.00640958
70,0.0736479,0.00856653
71,0.0807792,0.00359538
72,0.0720563,0.00557732
73,0.0597606,0.00565765
74,0.0302771,0.00363679
75,0.0484125,0.00533373
76,0.0223382,0.0081247
77,0.0488298,0.00589173
78,0.0208819,0.00475291
79,0.0322384,0.00387155
80,0.0272765,0.00544258
81,0.0178435,0.00522803
82,0.0212546,0.00508185
83,0.0143543,0.00557881
84,0.00921551,0.00131553



Converged at epoch: 84
