Epoch,Error x, Error y
1,24.296,21.1471
2,23.8071,20.6066
3,23.3757,20.0568
4,23.078,19.2344
5,22.6247,18.4529
6,22.1743,17.6825
7,21.7872,16.917
8,21.3229,16.1775
9,20.7342,15.4779
10,20.2575,14.786
11,19.776,14.1215
12,19.3163,13.5058
13,18.8944,12.9178
14,18.4692,12.3613
15,18.038,11.8536
16,17.5693,11.3833
17,17.1578,10.9135
18,16.7159,10.4625
19,16.3738,10.0251
20,15.9542,9.59997
21,15.5002,9.18827
22,15.0658,8.76617
23,14.6423,8.35354
24,14.2517,7.9515
25,13.8284,7.57167
26,13.4002,7.18596
27,13.0034,6.8258
28,12.5979,6.46929
29,12.1834,6.11332
30,11.7872,5.77453
31,11.3832,5.44728
32,10.9803,5.1361
33,10.6051,4.81353
34,10.1988,4.51037
35,9.81171,4.21353
36,9.45347,3.92378
37,9.06142,3.66054
38,8.67159,3.3983
39,8.29618,3.14682
40,7.9317,2.91698
41,7.57009,2.70202
42,7.2103,2.50145
43,6.85143,2.30833
44,6.50589,2.12916
45,6.14981,1.94802
46,5.81927,1.76924
47,5.48507,1.59141
48,5.16265,1.41037
49,4.85694,1.23878
50,4.54744,1.06539
51,4.25613,0.88575
52,3.97066,0.709368
53,3.68657,0.534334
54,3.40042,0.369675
55,3.10771,0.28947
56,2.82748,0.196815
57,2.55119,0.0941393
58,2.29109,0.0866337
59,2.02615,0.106334
60,1.78067,0.0608188
61,1.54344,0.131218
62,1.322,0.0725769
63,1.10887,0.0664245
64,0.904586,0.0565652
65,0.713245,0.0579895
66,0.537812,0.0425703
67,0.398363,0.051458
68,0.257426,0.0438512
69,0.158675,0.0718386
70,0.0866366,0.0500507
71,0.107283,0.0864033
72,0.0969239,0.0204384
73,0.0837633,0.0361685
74,0.0888568,0.0398256
75,0.114851,0.0213168
76,0.0522428,0.0577051
77,0.0917817,0.0115151
78,0.0356284,0.033629
79,0.0403658,0.0119269
80,0.0313844,0.0184701
81,0.0240112,0.0128241
82,0.0327187,0.0113752
83,0.0434271,0.0111793
84,0.0313315,0.0192545
85,0.0586187,0.00931672
86,0.0176817,0.0147135
87,0.0452115,0.00831789
88,0.0249716,0.00897475
89,0.0303729,0.00676842
90,0.0302603,0.00919952
91,0.0227591,0.0057659
92,0.0220169,0.00579422
93,0.012291,0.00734295
94,0.0142318,0.0102439
95,0.0138321,0.00920143
96,0.0154229,0.0117228
97,0.00607975,0.0130247
98,0.014415,0.0226049
99,0.00378126,0.00858129



Converged at epoch: 99
