Epoch,Error x, Error y
1,22.1289,19.9719
2,21.7369,19.3775
3,21.3224,18.7935
4,20.8858,18.2186
5,20.4564,17.6487
6,20.2942,17.0912
7,19.8747,16.5314
8,19.5,15.9863
9,19.0693,15.4477
10,18.6676,14.9176
11,18.2378,14.3875
12,17.8216,13.8624
13,17.3975,13.3489
14,16.9826,12.8447
15,16.5843,12.3447
16,16.182,11.8538
17,15.7762,11.3701
18,15.3595,10.8921
19,14.9751,10.423
20,14.5797,9.97626
21,14.1965,9.52013
22,13.8034,9.07353
23,13.4228,8.63956
24,13.0263,8.2178
25,12.6225,7.80529
26,12.2213,7.3952
27,11.8375,6.99536
28,11.4971,6.59852
29,11.1232,6.22115
30,10.7507,5.85256
31,10.39,5.48845
32,10.0329,5.13169
33,9.69321,4.78876
34,9.3306,4.45967
35,8.98946,4.14088
36,8.63728,3.841
37,8.30433,3.55137
38,7.9748,3.26924
39,7.65235,3.0063
40,7.32367,2.75498
41,7.00647,2.51788
42,6.67863,2.30038
43,6.38034,2.09398
44,6.06746,1.89797
45,5.78843,1.71807
46,5.49959,1.52959
47,5.22271,1.35326
48,4.94412,1.17898
49,4.66941,1.01595
50,4.40875,0.853559
51,4.15739,0.696884
52,3.90789,0.540822
53,3.6675,0.393392
54,3.42727,0.261428
55,3.19311,0.176529
56,2.96769,0.100168
57,2.75437,0.0777322
58,2.54825,0.0771674
59,2.35042,0.0892656
60,2.16415,0.0595047
61,1.98283,0.0669581
62,1.80669,0.047402
63,1.64023,0.0449809
64,1.48631,0.051525
65,1.34471,0.0268844
66,1.22449,0.0272337
67,1.11059,0.0172458
68,1.0057,0.0284775
69,0.907085,0.0198995
70,0.812483,0.0206974
71,0.717032,0.021787
72,0.6287,0.0129939
73,0.540145,0.0211862
74,0.458597,0.0138218
75,0.383724,0.0193699
76,0.312138,0.0199592
77,0.242019,0.0160456
78,0.175448,0.0286584
79,0.103634,0.0313468
80,0.071257,0.0548574
81,0.0763928,0.0626023
82,0.0659329,0.0570441
83,0.0467004,0.0437834
84,0.0508492,0.0483166
85,0.0438672,0.0210307
86,0.0408769,0.0520316
87,0.0551143,0.0402356
88,0.0741342,0.0368241
89,0.0511818,0.0288698
90,0.0528877,0.0168177
91,0.0459651,0.0219557
92,0.0328252,0.0279076
93,0.0449458,0.0232633
94,0.0346378,0.0248957
95,0.0228092,0.012283
96,0.0384878,0.0153454
97,0.0541477,0.0129469
98,0.0241418,0.0155862
99,0.045297,0.020108
100,0.0315603,0.00654877
101,0.0336509,0.0131549
102,0.0184298,0.0208511
103,0.0229603,0.00710384
104,0.0175496,0.0126626
105,0.032192,0.0245007
106,0.0180479,0.013765
107,0.0352042,0.024525
108,0.0124524,0.00934959
109,0.0335356,0.0342651
110,0.0146351,0.00579444
111,0.0208593,0.0217528
112,0.0250031,0.0157108
113,0.0294007,0.0179993
114,0.0128121,0.0155357
115,0.0180537,0.0226029
116,0.0256965,0.0221809
117,0.0225043,0.0275336
118,0.0273358,0.00355614
119,0.0451098,0.0136206
120,0.00659844,0.0112503
121,0.0275817,0.00762091
122,0.0306521,0.00455901
123,0.0111564,0.0107735
124,0.032203,0.0146618
125,0.0150927,0.0151422
126,0.0359367,0.0025362
127,0.010545,0.0084581
128,0.0259047,0.014554
129,0.0453716,0.0109457
130,0.0254525,0.00938441
131,0.00385404,0.019511
132,0.0148143,0.0166548
133,0.0025706,0.0128282
134,0.00891548,0.00658803



Converged at epoch: 134
