Epoch,Error x, Error y
1,24.296,21.1471
2,23.8071,20.6066
3,23.3757,20.0568
4,23.0684,19.2392
5,22.6153,18.4565
6,22.1655,17.6847
7,21.7779,16.9196
8,21.3144,16.1779
9,20.7278,15.4768
10,20.2525,14.7853
11,19.7714,14.1208
12,19.3125,13.5051
13,18.8906,12.917
14,18.4653,12.3605
15,18.0341,11.8526
16,17.5654,11.3823
17,17.1539,10.9128
18,16.7121,10.4622
19,16.2729,10.0237
20,15.8217,9.59913
21,15.3688,9.18803
22,15.1003,8.76573
23,14.677,8.35292
24,14.2865,7.9512
25,13.8634,7.57192
26,13.4346,7.18638
27,13.0043,6.82546
28,12.5992,6.46796
29,12.1882,6.11283
30,11.7926,5.77483
31,11.3885,5.44803
32,10.9854,5.13715
33,10.6105,4.81351
34,10.2045,4.51249
35,9.81696,4.21305
36,9.47061,3.92518
37,9.07836,3.66094
38,8.66989,3.39608
39,8.29709,3.14434
40,7.93519,2.91613
41,7.57318,2.69941
42,7.21273,2.50018
43,6.8535,2.30776
44,6.50889,2.12955
45,6.14725,1.95296
46,5.81868,1.77731
47,5.48339,1.59863
48,5.16086,1.41601
49,4.85587,1.246
50,4.54605,1.07783
51,4.26385,0.899337
52,3.97405,0.719644
53,3.69092,0.555162
54,3.40556,0.395061
55,3.11145,0.330108
56,2.83158,0.235124
57,2.55856,0.200303
58,2.29529,0.179131
59,2.03355,0.188693
60,1.78467,0.177532
61,1.55319,0.229382
62,1.33116,0.164092
63,1.11616,0.158351
64,0.913292,0.157444
65,0.717086,0.116022
66,0.562794,0.120361
67,0.43809,0.130041
68,0.315493,0.0902389
69,0.239281,0.0973904
70,0.187289,0.110885
71,0.176081,0.127753
72,0.189224,0.126873
73,0.163808,0.133987
74,0.140236,0.11783
75,0.162534,0.112956
76,0.155547,0.128412
77,0.175596,0.134987
78,0.131508,0.108736
79,0.144896,0.152984
80,0.143762,0.114694
81,0.102206,0.154866
82,0.156246,0.169271
83,0.103226,0.151206
84,0.113548,0.190154
85,0.145471,0.205611
86,0.10415,0.160108
87,0.123457,0.123804
88,0.170875,0.158496
89,0.143161,0.117174
90,0.142315,0.209702
91,0.115609,0.0985444
92,0.137412,0.14224
93,0.0996363,0.128167
94,0.121972,0.143656
95,0.0734922,0.133629
96,0.0812266,0.17618
97,0.078987,0.118205
98,0.0826516,0.17319
99,0.115879,0.113182
100,0.0646541,0.121299
101,0.0759445,0.149213
102,0.0519573,0.161697
103,0.0465918,0.142582
104,0.0638914,0.144305
105,0.0710095,0.158732
106,0.0921083,0.133404
107,0.11197,0.17016
108,0.112521,0.16788
109,0.118036,0.172901
110,0.121643,0.106023
111,0.107092,0.127848
112,0.0708664,0.0910753
113,0.12777,0.100726
114,0.0785604,0.135181
115,0.0735433,0.162246
116,0.0793162,0.185169
117,0.0580629,0.163484
118,0.114349,0.147274
119,0.151643,0.150963
120,0.103078,0.117029
121,0.120257,0.124834
122,0.122977,0.131894
123,0.145442,0.143776
124,0.0924431,0.141741
125,0.119565,0.131465
126,0.114415,0.111339
127,0.142881,0.133286
128,0.0868534,0.120245
129,0.142515,0.15059
130,0.106119,0.118325
131,0.0966957,0.143372
132,0.0812483,0.156934
133,0.134886,0.155266
134,0.127918,0.178168
135,0.123123,0.189812
136,0.122718,0.151801
137,0.13994,0.208445
138,0.174599,0.158152
139,0.127281,0.187618
140,0.129661,0.16704
141,0.121807,0.17202
142,0.129449,0.187546
143,0.130785,0.174235
144,0.110219,0.152643
145,0.128415,0.189574
146,0.155787,0.151808
147,0.112802,0.180068
148,0.0910321,0.177146
149,0.0986558,0.157006
150,0.142765,0.170888
151,0.14604,0.113932
152,0.12513,0.156582
153,0.117178,0.17265
154,0.140611,0.198345
155,0.168354,0.170849
156,0.0932629,0.118544
157,0.131579,0.130185
158,0.139558,0.165854
159,0.0972555,0.0847583
160,0.114616,0.0942138
161,0.105942,0.129183
162,0.110373,0.126135
163,0.10861,0.137228
164,0.111592,0.0829815
165,0.0850267,0.1058
166,0.130865,0.135304
167,0.115548,0.177364
168,0.170742,0.106359
169,0.136215,0.156532
170,0.156212,0.111188
171,0.0995629,0.181699
172,0.0951181,0.182177
173,0.100363,0.162031
174,0.0603503,0.1282
175,0.0784779,0.179185
176,0.120024,0.143068
177,0.11415,0.136257
178,0.122762,0.134389
179,0.120494,0.121829
180,0.144413,0.130751
181,0.137952,0.12124
182,0.18771,0.0820333
183,0.0907331,0.106918
184,0.168673,0.114124
185,0.12916,0.0996806
186,0.144285,0.116643
187,0.160602,0.0827892
188,0.0985847,0.115335
189,0.114474,0.115355
190,0.11161,0.10556
191,0.122476,0.124651
192,0.101083,0.109257
193,0.176779,0.0816338
194,0.0968142,0.0475632
195,0.146207,0.116486
196,0.129658,0.0787725
197,0.115765,0.0942513
198,0.148767,0.106292
199,0.126072,0.0831969
200,0.124869,0.145629
201,0.120182,0.0686644
202,0.112218,0.105355
203,0.117037,0.118266
204,0.167345,0.121852
205,0.126677,0.140848
206,0.148619,0.0770391
207,0.14841,0.103067
208,0.166196,0.102641
209,0.147003,0.111797
210,0.156822,0.13181
211,0.14492,0.112125
212,0.153884,0.103113
213,0.114093,0.107689
214,0.154477,0.109107
215,0.133812,0.110538
216,0.0971134,0.113606
217,0.113797,0.101999
218,0.0853921,0.139408
219,0.0835483,0.109407
220,0.0909603,0.109776
221,0.145252,0.163932
222,0.115076,0.14889
223,0.126239,0.120501
224,0.128118,0.121803
225,0.150984,0.102223
226,0.112346,0.113887
227,0.0917845,0.0882723
228,0.103391,0.134197
229,0.0964081,0.118618
230,0.102874,0.101454
231,0.14194,0.125634
232,0.17372,0.125208
233,0.132164,0.132703
234,0.111157,0.124828
235,0.130056,0.151274
236,0.136525,0.113778
237,0.176289,0.13508
238,0.144,0.117553
239,0.132996,0.12514
240,0.122944,0.186114
241,0.105774,0.128385
242,0.0567997,0.0985137
243,0.137519,0.135778
244,0.142825,0.156732
245,0.120529,0.148396
246,0.10838,0.147978
247,0.0964857,0.153763
248,0.0967652,0.0965011
249,0.0760266,0.135225
250,0.104296,0.179474
251,0.136417,0.197782
252,0.121726,0.100098
253,0.101673,0.144489
254,0.144863,0.165491
255,0.0918593,0.131065
256,0.132179,0.150834
257,0.154789,0.121094
258,0.144202,0.164845
259,0.209712,0.15391
260,0.136543,0.103872
261,0.160757,0.184982
262,0.13449,0.141755
263,0.142449,0.12164
264,0.180355,0.135532
265,0.170977,0.142676
266,0.148097,0.105568
267,0.136107,0.157474
268,0.158224,0.108998
269,0.136268,0.113647
270,0.14817,0.0825324
271,0.155553,0.111256
272,0.108693,0.0928182
273,0.138897,0.134536
274,0.10321,0.106193
275,0.120062,0.117447
276,0.107513,0.123981
277,0.1179,0.0972745
278,0.117031,0.113907
279,0.10127,0.141288
280,0.12291,0.138516
281,0.106253,0.133103
282,0.0972208,0.138613
283,0.178901,0.148714
284,0.105946,0.125458
285,0.149256,0.16377
286,0.118309,0.10726
287,0.146069,0.136437
288,0.109915,0.127704
289,0.142683,0.124745
290,0.181995,0.122623
291,0.138515,0.113136
292,0.195529,0.12684
293,0.195839,0.147558
294,0.17863,0.128262
295,0.144548,0.137026
296,0.167259,0.198617
297,0.132595,0.107972
298,0.133738,0.118335
299,0.163877,0.120506
300,0.142688,0.136491



Converged at epoch: 300
